rank,name,sr-score,description,round,amount,recent_funding_date_timestamp_dt
141,Cratejoy,"82,759",Cratejoy is a subscription eCommerce store builder. - Cratejoy is a website builder and eCommerce backen ...,Series A,4000000.0,2014-10-14
144,OnDemandKorea,"82,723","Korean TV, Movies, Video Streaming - ODK Media Inc. operates online TV platforms ""OnDem ...",Series B,2062743.0,2014-04-01
146,x.ai,"82,701","A personal assistant who schedules meetings for you - x.ai is a free, personal, artificial intelligent a ...",Series B,10000000.0,2017-08-14
149,Slidebean,"82,646",Slidebean is an online platform that designs and creates presentations on demand with user provided content. - Slidebean is a cloud based presentation tool that ...,Seed,850000.0,2016-10-31
154,Dealspotr,"82,476","The web's most advanced deal-sharing platform - Since late 2015, Dealspotr has saved shoppers over ...",Seed,10247296.46,2015-04-01
156,DocSend,"82,414",Analytics for documents you send - DocSend makes business communication with document ...,Series A,8000000.0,2016-04-11
157,Databox,"82,413",Stay on top of your business with the speed of mobile - Databox helps executives stay connected to the key ...,Seed,3300000.0,2015-09-03
161,StudioBinder,"82,327",Production Management Made Modern - SEND PERSONALIZED CALL SHEETS • SHARE DOCUMENTS • ...,Seed,10247296.46,2015-04-01
164,Algorithmia,"82,303","Algorithmia is an open marketplace for algorithms, enabling developers to create tomorrows smart applications today. - Algorithmia - Marketplace for Algorithms as a serv ...",Series A,10500000.0,2017-06-23
168,Shippo,"82,217",API for cheaper (international) shipping - Shippo - We've built an API that makes (internatio ...,Series B,20000000.0,2017-10-31
172,SpotHero,"82,203",Airbnb of Parking - SpotHero - Rent out your parking spot when you're ...,Series C,30000000.0,2017-07-18
173,Chargebee,"82,187",Subscription Billing for Startups - ChargeBee is a subscription management and recurri ...,Series B,5000000.0,2015-03-03
174,Clearbit,"82,185",Business Intelligence APIs - We're committed to bringing our customers the kind ...,Seed,2000000.0,2015-03-03
176,MeUndies,"82,158",A premium underwear brand for men and women - delivered monthly or whenever or want. - MeUndies manufactures and distributes premium unde ...,Series B,2000000.0,2015-11-01
177,Motion Array,"82,146","Motion Array is a membership website focused on providing quality content for video producers, marketers, and more. - Motion Array helps you make amazing videos. Creati ...",Seed,10247296.46,2015-04-01
178,TripleLift,"82,143",TripleLift is the native programmatic platform with RTB capabilities for buying and selling native advertising - TripleLift is the advertising solution for the vis ...,Series B,10500000.0,2015-06-11
179,Jumpshare,"82,136",File sharing and collaboration platform for creative professionals. - Jumpshare - File sharing made simple! Jumpshare is ...,Seed,10247296.46,2015-04-01
182,Dropmark,"82,115","Easily share, organize and collaborate on files - Dropmark allows you to easily share files by dropp ...",Seed,10247296.46,2015-04-01
188,Domo,"81,967",Business Intelligence - Dashboards and Analytics - Domo optimizes your business by connecting you to ...,Series D,100000000.0,2017-04-27
192,CoSchedule,"81,892",Content Marketing Editorial Calendar Software - CoSchedule is a drag-and-drop editorial calendar f ...,Venture,2000000.0,2017-05-17
195,Process Street,"81,792","Rapid process document creation, iteration, tracking and optimization. - Process Street - We provide a simple and effective ...",Seed,1300000.0,2017-01-18
198,Student Loan Hero,"81,708",The smartest way to pay off your student loans. - Student Loan Hero is an unbiased solution to organ ...,Seed,25000.0,2013-02-08
207,Kapwing,"81,517",Online toolbox for modern video creators - Kapwing has a set of online tools for modern video ...,Seed,10247296.46,2015-04-01
208,Nomics,"81,475","Crypto market caps, prices, all-time high data - Nomics is the transparent crypto price & data aggr ...",Seed,10247296.46,2015-04-01
210,Moqups,"81,468",Vectorial Mockups - Moqups is an unique app based on HTML5 and SVG tha ...,Seed,10247296.46,2015-04-01
211,Lolli,"81,451","Lolli is the leading bitcoin rewards company - The company has partnered with 1,000+ top merchant ...",Seed,3000000.0,2020-05-11
213,Greenhouse,"81,426","Simple and secure continuous integration for mobile apps. - Greenhouse - Modern, smart recruiting platform. G ...",Seed,10247296.46,2015-04-01
218,GetFeedback,"81,322",Create Amazing Mobile-Ready Surveys - GetFeedback is a modern survey marketing applicati ...,Series A,2300000.0,2014-09-24
219,Kuula,"81,298",Virtual tours made easy - Kuula is an easy-to-use and budget friendly soluti ...,Seed,10247296.46,2015-04-01
227,Postmates,"81,145",On-Demand Delivery - Postmates is transforming the way local goods move ...,Series D,140000000.0,2016-09-16
238,GraphicSprings,"80,964",Logo design and business card services - GraphicSprings is a web based logo design applicat ...,Seed,10247296.46,2015-04-01
243,Ryver,"80,885",The only collaborative email for business. - Ryver provides all of your team communications in ...,Venture,599905.0,2015-02-01
251,Buddy,"80,810",Deployments automation for Web Developers - Buddy is a hosted Continuous Integration and Conti ...,Post-IPO Equity,23000000.0,2017-10-30
254,Refersion,"80,746","Affiliate Tracking Platform - Tracking rewards for social media influencers, amb ...",Seed,10247296.46,2015-04-01
255,Vectr,"80,736",Free Vector Graphics Editor - Vectr is a free collaborative vector graphics edit ...,Seed,200000.0,2015-04-01
256,Freewallet,"80,716",Mobile-first cryptocurrency wallets - Freewallet is a guide to the crypto world created ...,Seed,10247296.46,2015-04-01
258,Groove,"80,689",Elegant Help Desk Software - Groove - Simple Ticketing and Knowledge Base Softw ...,Seed,1000000.0,2012-02-07
260,Honey,"80,680",Beautiful enterprise social network - Honey - The better way to share news and informati ...,Series B,9000000.0,2017-10-24
262,CleverTap,"80,661","Mobile App Engagement, Delivered. - CleverTap is a mobile user engagement and analytic ...",Series A,8000000.0,2015-08-03
264,Social Tables,"80,655",Seating chart SaaS - Social Tables - Visualize your event's seating cha ...,Series B,13000000.0,2016-10-04
267,Bench.co,"80,623","Bookkeeping done for you. - Bench.co - A modern bookkeeping company, providing ...",Seed,10247296.46,2015-04-01
268,Proto.io,"80,581",Silly-fast mobile prototyping. - Proto.io is a new prototyping tool specifically de ...,Seed,10247296.46,2015-04-01
269,ViralSweep,"80,567",Sweepstakes Management Platform - ViralSweep is a platform that allows businesses to ...,Seed,10247296.46,2015-04-01
270,RentHop,"80,566",Apartment search using data - RentHop helps you find your next home quickly and ...,Seed,25000.0,2014-04-01
273,ConvertKit,"80,512",Email marketing for professional bloggers. - Email marketing for bloggers. Turn visitors into c ...,Product Crowdfunding,1800000.0,2016-07-07
274,Freedcamp,"80,509",Freedcamp is a web application that allows users to collaborate on projects. - Freedcamp - The first free project management and ...,Convertible Note,50000.0,2017-07-10
276,AND CO,"80,434",A smart back office for freelancers - AND CO is a smartphone-based application that enab ...,Seed,2000000.0,2016-03-28
279,Your Money Geek,"80,419",Let's make money happen! - Your Money Geek was founded in 2018 as a way to he ...,Seed,10247296.46,2015-04-01
280,BabyList,"80,414","Babylist is an online universal baby registry that enables parents discover, request and buy products for newborns. - BabyList is your Baby Registry Anywhere. Add items ...",Seed,650000.0,2013-06-25
281,Pure Chat,"80,397",Pure Chat - Simple website chat for small businesses Pure Chat is the best live chat and visitor tr ...,Seed,10247296.46,2015-04-01
287,Wanelo,"80,312","Facebook for products. - Wanelo (“wah-nee-loh,” from Want, Need, Love) is r ...",Series A,10247296.46,2014-03-15
290,Convertio,"80,277",Convertio Co is a web-based platform that provides its users with an online tool to convert files online. - Convertio - Easy tool to convert files online. A l ...,Seed,50000.0,2014-08-01
295,Designlab,"80,265","Fun, interactive lessons for beginning designers - Designlab is reinventing design education by teach ...",Seed,280000.0,2014-06-16
297,Eltoro.com,"80,240",ElToro.com is disrupting the display and banner advertising world by placing online advertisements t ...,Seed,10247296.46,2015-04-01
300,iLoveIMG,"80,220",EVERY TOOL YOU COULD WANT TO EDIT IMAGES - Convert your images with these free online image c ...,Seed,10247296.46,2015-04-01
305,Heap,"80,174",Heap provides analytics infrastructure to automate away the annoying parts of user analytics. - Heap - Web and mobile analytics that tracks everyt ...,Series B,27000000.0,2017-05-04
308,Signifyd,"80,116",the anti virus for social interactions - Signifyd is an anti virus for social interactions. ...,Series C,56000000.0,2017-05-04
309,Fix The Photo,"80,108",Online photo retouching services - Photo editing company provides quick digital retou ...,Seed,10247296.46,2015-04-01
318,Officevibe,"80,028",Employee engagement platform - Officevibe is an employee engagement platform with ...,Seed,1000000.0,2015-04-01
319,Equipboard,"80,027",World's largest music gear database - Equipboard is a community-built database that brin ...,Seed,10247296.46,2015-04-01
323,Happyfox,"79,983","HappyFox is a developer of customer support and ticket management software. - HappyFox is a ridiculously easy, powerfully simple ...",Seed,10247296.46,2015-04-01
328,Bugsnag,"79,923",Bugsnag provides an automated crash detection platform for web and mobile applications. - Bugsnag (bugsnag.com) automatically detects errors ...,Series A,7200000.0,2015-07-07
333,LaunchRock,"79,864",Viral Launching Soon Page - LaunchRock helps you setup a viral launching soon ...,Seed,800000.0,2011-11-08
336,Spark Hire,"79,833",Simple video interviewing software - Spark Hire is an easy to use video interviewing pl ...,Seed,10247296.46,2015-04-01
338,"Vinyl Me, Please","79,820","The Best Damn Record Club Out There - Vinyl Me, Please is the best damn record club out ...",Seed,10247296.46,2015-04-01
345,Online Check Writer,"79,702",Online check printing software - There are many check printing software available o ...,Seed,10247296.46,2015-04-01
346,Elink,"79,700","Create and publish content in minutes - Elink is a smart, easy and fast way of sharing dig ...",Seed,10247296.46,2015-04-01
351,Tinder,"79,632",Find your match - Tinder is a mobile app that finds who likes you ne ...,Seed,10247296.46,2015-04-01
352,PotGuide.com,"79,627",The Comprehensive Guide to the World of Marijuana - PotGuide.com is a comprehensive online guide to th ...,Seed,40000.0,2015-10-01
353,BetterWorks,"79,596",We Make Work Rewarding - BetterWorks - Recent technical innovations have ch ...,Series B,20000000.0,2016-03-23
364,FlexiSpot,"79,490","Height Adjustable Standing Desk Sit Stand Desk - At FlexiSpot, we believe there’s a healthier way t ...",Seed,10247296.46,2015-04-01
365,Milled,"79,483",E-Commerce offer aggregator - Milled - We subscribe to thousands of mailing list ...,Seed,10247296.46,2015-04-01
371,Medium,"79,439","Read, write and share stories that matter - Everyone’s stories and ideas. Move thinking forwar ...",Series C,50000000.0,2016-04-21
373,Rollbar,"79,425",Easy and powerful error monitoring and debugging for developers - Rollbar is a full-stack error monitoring platform. ...,Series A,6000000.0,2017-10-23
374,TickPick,"79,417",Simplifying Ticket Purchasing - TickPick is an innovative ticket marketplace to bu ...,Seed,10247296.46,2012-05-08
375,SendBird,"79,413",Messaging and Chat API for Mobile Apps and Website - SendBird provides the chat API and the backend for ...,Seed,120000.0,2015-11-21
381,AlleyWatch,"79,381","AIIeyWatch is a news, culture, and technology platform that focuses on the creation and fostering of startups and related organizations. - AlleyWatch is a media property dedicated to the ad ...",Seed,40000.0,2012-10-15
382,Sendy,"79,374","Newsletters, 100x cheaper - Sendy is a self hosted newsletter app that lets yo ...",Seed,10247296.46,2015-04-01
388,Equityzen,"79,333",EquityZen connects shareholders of private companies with investors seeking alternative investments. ...,Seed,10247296.46,2014-02-13
389,CodeBeautify,"79,318","Beautify your code with CodeBeautifier - Free Online Tools For Developers - to Beautify, Va ...",Seed,10247296.46,2015-04-01
393,Smartsupp,"79,239","Look at your website through your customer's eyes. Visitor recording tool that allows you to truly understand behavior of your customers. - ""Your customers are browsing your website right no ...",Seed,200000.0,2016-08-01
397,Server Pilot,"79,227","Configure, manage, and monitor your cloud servers and web applications - Server Pilot automates the management and administ ...",Seed,10247296.46,2012-10-01
399,Vungle,"79,207",an app discovery platform where every app is showcased through video. - Vungle is an app discovery platform covering apps ...,Series B,17000000.0,2014-02-06
400,Papaly,"79,200",Papaly is a simple bookmarking tool to manage all your links. Share and follow topics of interest to discover new content. - Papaly is your ultimate link manager. Create board ...,Seed,10247296.46,2015-04-01
403,Inkitt,"79,172","Read, write and discover great online novels - Inkitt is a platform where authors can write and s ...",Seed,3900000.0,2017-09-25
405,Samepage.io,"79,160","Samepage is a social collaboration platform connecting people with projects, conversations and files ...",Seed,10247296.46,2015-04-01
409,Tailwind,"79,093","Tailwind's mission is to make world-class marketing easy for everyone. - Tailwind is the leading visual marketing platform, ...",Seed,1000000.0,2013-11-06
417,M1 Finance,"78,978",Build long-term savings and manage wealth - M1 Finance is a first-of-its-kind automated invest ...,Seed,10247296.46,2016-10-01
419,POWr,"78,955",A suite of easy-to-use online tools to power any small business - POWr is a toolkit of core website components that ...,Angel,110000.0,2014-05-01
420,jsDelivr,"78,952","A free, fast, and reliable Open Source CDN. - jsDelivr is a public, open-source CDN (Content Del ...",Seed,10247296.46,2015-04-01
421,Mashvisor,"78,945",Real Estate Investment Analytics - Mashvisor delivers an automated platform that anal ...,Seed,150000.0,2016-11-15
422,Ministry of Supply,"78,939",High performance business clothing. - Ministry of Supply is creating the future of busin ...,Venture,1024999.0,2015-06-16
423,EngageBay,"78,900",All-in-one marketing platform for less than $1 - EngageBay is built for entrepreneurs and small bus ...,Seed,10247296.46,2015-04-01
424,Oktopost,"78,889",Social media tool for B2B marketers - Oktopost is the first solution to establish the RO ...,Seed,800000.0,2013-11-07
428,Dynalist,"78,861",Bring your lists to life - A productivity app that helps people organize ever ...,Seed,10247296.46,2015-04-01
431,Algolia,"78,839",Search as a service API built for developers - Algolia is a hosted search service available as a ...,Secondary Market,10247296.46,2017-09-01
432,Ambition,"78,836",Drive Employee Performance - Ambition is an employee performance management pla ...,Seed,2000000.0,2014-06-01
433,Magic Leap,"78,810",Magic back into the world - You already own the world’s most amazing computer. ...,Series D,502000000.0,2017-10-17
436,Slant,"78,772",Wikipedia for Opinion - Slant is a collaboratively edited resource of subj ...,Seed,10247296.46,2015-04-01
443,Pics.io,"78,716",Pics.io is complete solution digital assets management. - Pics.io is a simple solution to manage & distribut ...,Seed,10247296.46,2015-04-01
448,Postable,"78,582",Postable makes it simple to send greeting cards & stationery in the mail. - Postable - The free & easy way to get people's mai ...,Seed,10247296.46,2015-04-01
452,Coinigy,"78,555",Professional Tools For Cryptocurrency Traders. - Coinigy brings Bitcoin and Cryptocurrency investme ...,Seed,400000.0,2016-07-25
455,Happify,"78,515","Happify is the most established destination for effective, evidence-based solutions for better emotional health & mindfulness on the market. - Happify - Transforming the latest innovations in h ...",Venture,9000000.0,2017-08-15
468,GoFounders,"78,436","In It to Win It - GoFounders, one of the leading business platform i ...",Seed,10247296.46,2015-04-01
469,Clockify,"78,432",The only 100% free time tracking - Clockify is the only truly free time tracking soft ...,Seed,10247296.46,2015-04-01
473,Re:amaze,"78,323",Better Conversations. Happier Customers - Re:amaze is a cloud based helpdesk and customer me ...,Seed,10247296.46,2015-04-01
485,Stripo.email,"78,226",Drag-and-drop and HTML email template builder - Stripo - Online Email Template Builder empowering ...,Seed,10247296.46,2015-04-01
486,MarketMuse,"78,214","MarketMuse uses AI to accelerate content planning, creation and optimization. - MarketMuse uses artificial intelligence to analyze ...",Angel,978000.0,2016-12-14
488,Zenefits,"78,209",Zenefits is an all-in-one Digital HR platform for small and medium businesses. - Zenefits - All in one HR Software. Seamlessly con ...,Series C,500000000.0,2015-05-06
491,Pymetrics,"78,200",Pymetrics is the next generation job marketplace. - Pymetrics - A next generation career search platfo ...,Series A,8000000.0,2017-09-20
493,Apptentive,"78,187","GetSatisfaction for App Developers - Apptentive - Get better ratings, reviews and custo ...",Series A,1700000.0,2017-02-13
495,Pixpa,"78,150","Smart Portfolio Websites for Creative Professionals - Pixpa enables photographers, artists and designers ...",Seed,10247296.46,2015-04-01
497,Acquire,"78,115",Multi-channel customer communication platform - Acquire is customer service and support software t ...,Seed,10247296.46,2015-04-01
499,Seedinvest,"78,112",SeedInvest is an equity crowdfunding platform that connects investors with startups. - SeedInvest is a leading equity crowdfunding platfo ...,Venture,5125000.0,2016-06-01
502,iWantMyName,"78,099",Simple Domain Registrar - iWantMyName makes it dead-simple to purchase domai ...,Seed,10247296.46,2015-04-01
505,ReportGarden,"78,090",Reporting & Dashboard Software - Digital Ad Agency - An Enterprise Ad Agency Reporting & Dashboards sof ...,Seed,10247296.46,2015-04-01
507,Invoiced,"78,078",Inoviced is the modern invoicing and subscription billing for growing businesses. - Invoiced is simple invoicing for freelancers and s ...,Seed,10247296.46,2017-08-30
509,Agile CRM,"78,050","Marketing automation + CRM for small businesses - AgileCRM combines CRM with MA, web analytics and s ...",Seed,10247296.46,2015-04-01
515,Inspirock.com,"78,012",Inspirock’s free travel planner helps you break away from the crowds and discover the places and att ...,Seed,10247296.46,2015-04-01
516,MindMajix,"78,000",Provides online training for all IT Courses - MindMajix is the leader in delivering online cours ...,Seed,10247296.46,2015-04-01
518,StopLight,"77,974","Mock, document, and test your way to API nirvana - StopLight makes it easy to inspect and test your w ...",Convertible Note,118000.0,2015-03-23
520,Insureon,"77,956","Small Business Insurance Quotes Online - Founded in 2011, Insureon is an InsurTech startup ...",Venture,31000000.0,2015-10-21
521,LambdaTest,"77,953",Perform All Your Tests On Cloud - LambdaTest is a scalable cloud-based cross browser ...,Seed,10247296.46,2015-04-01
522,Outgrow,"77,950",Interactive Calculators and Quizzes - Standing out online is tough…customers are immune ...,Seed,10247296.46,2015-04-01
523,EmailOnDeck,"77,941",Fast & Free temp email in 2 easy steps! - Protect your privacy by using a free temporary ema ...,Seed,10247296.46,2015-04-01
524,Akeneo,"77,934",The #1 Enterprise Open Source PIM - Akeneo is a global leader in Product Experience Ma ...,Seed,10247296.46,2015-04-01
526,Packlane,"77,928",Custom packaging in just a few clicks - Packlane makes it easy for brands to create beauti ...,Seed,10247296.46,2015-04-01
529,Salesmate CRM,"77,909",All in one sales CRM for small business - Salesmate is a truly intelligent sales CRM helps s ...,Seed,10247296.46,2015-04-01
531,Modalyst,"77,892",Dropshipping automation software for ecommerce - Modalyst is dropshipping automation software for e ...,Seed,10247296.46,2015-04-01
533,Reonomy,"77,869",Commercial Real Estate Analytics Reimagined. - Reonomy - Using big data analytics and proprietary ...,Debt Financing,4500000.0,2015-06-17
537,HotJar,"77,840",See how visitors are really using your website - HotJar lets you see how visitors are really using ...,Seed,10247296.46,2015-04-01
540,Kevel,"77,838",Take Back the Internet - Kevel offers infrastructure ad serving APIs that m ...,Seed,10247296.46,2015-04-01
546,Torre,"77,804","Platforms and services that make work fulfilling - At Torre, our mission is to make work fulfilling f ...",Seed,10247296.46,2012-01-11
547,Hive,"77,794",The Productivity Platform - Hive is the productivity platform for seamless pro ...,Seed,10247296.46,2015-04-01
552,CryptoTrader.Tax,"77,747",The easiest way to prepare crypto taxes - CryptoTrader.Tax is a tool to help make the task o ...,Seed,10247296.46,2015-04-01
558,Quote Roller,"77,691",Freshbooks for proposals - Quote Roller is a cloud-based software as a servic ...,Convertible Note,400000.0,2014-09-22
559,Payability,"77,677",Improve Cash Flow - Financing for Amazon Business - Payability provides finance solutions to suppliers ...,Seed,10247296.46,2015-04-01
562,ShipBob,"77,664",ShipBob provides Amazon level logistics to small to mid sized businesses. - ShipBob is shipping made uber simple. It is the ea ...,Series B,17500000.0,2017-06-13
570,KickoffLabs,"77,612",Simple customer signup pages for new and small businesses. - KickoffLabs lets you create one page sites for you ...,Venture,1700000.0,2012-07-26
571,Stackify,"77,607",Stackify is a developer-friendly solution that fully integrates application performance management with error and log management. - Stackify offer software developers the only develo ...,Venture,5000000.0,2015-01-01
572,Onfleet,"77,605",Onfleet makes it easy for businesses to manage their local delivery operations. - Onfleet's delivery management software simplifies ...,Seed,2600000.0,2016-11-16
575,MightyCall,"77,596","Cisco for Small Businesses, without the price tag - MightyCall - Improve your image with a dedicated b ...",Seed,10247296.46,2015-04-01
576,Realty Mogul,"77,581","We're an online marketplace for real estate investing, connecting borrowers and sponsors to individual and institutional investors. - Realty Mogul - Pool money with like-minded investo ...",Venture,1520000.0,2016-09-20
580,Pitchbox,"77,555",Find 'em. Pitch 'em. Close 'em. - Pitchbox is a prospecting and relationship buildin ...,Seed,10247296.46,2015-04-01
581,Xtensio,"77,540",Documents = Web Pages = Presentations - Documents = Web Pages = Presentations. A super ...,Seed,10247296.46,2015-04-01
585,Text Request,"77,494",Text customers using your office phone number. - Text Request is an online tool for managing your b ...,Seed,250000.0,2014-11-20
589,LaunchDarkly,"77,474","LaunchDarkly is a Feature Management Platform that serves over 10 billion feature flags daily to help teams build better software, faster. - LaunchDarkly solves the biggest pains around effec ...",Series A,8700000.0,2016-12-20
591,AdNabu,"77,461",AdWords Automation Software - AdWords Automation Software. SaaS software creates ...,Seed,10247296.46,2015-04-01
593,Xplenty,"77,401",Hassle-Free Hadoop Data Processing - Xplenty gives you the full data processing of Hado ...,Venture,4000000.0,2016-12-01
595,Zignaly,"77,388",Crypto trading signals and bots - Zignaly.com is the leading platform for robotic ...,Seed,10247296.46,2015-04-01
596,Bit.ai,"77,374",Smart Document Collaboration for Teams - Bit is an all-in-one document collaboration platfo ...,Seed,10247296.46,2015-04-01
597,PayKickstart,"77,373","Accept payments, make more sales & boost revenue - PayKickstart provides shopping cart and affiliate ...",Seed,10247296.46,2015-04-01
605,Topvisor,"77,305",All-in-One SEO and PPC Tools for Better Marketing - Topvisor provides advanced software and automated ...,Seed,10247296.46,2015-04-01
609,BetaPage,"77,279","Browse, discover, hunt startups and new ideas - A startup directory where you can discover, hunt a ...",Seed,10247296.46,2015-04-01
610,ProductPlan,"77,273","ProductPlan provides companies with software to assist with the road-mapping process of product development. - ProductPlan is the easiest way to plan, visualize, ...",Seed,10247296.46,2015-04-01
612,Wibbitz,"77,253",The play button for the web - Wibbitz provides an interactive player for sites & ...,Series C,20000000.0,2017-10-23
614,Pollfish,"77,231",Pollfish is a survey web platform that allows individuals to create surveys and deploy them on selected audiences. - Pollfish is a survey platform which provides acces ...,Venture,1700000.0,2016-08-01
615,Minibar Delivery,"77,198",On-Demand Alcohol Delivery. - Minibar Delivery offers free on-demand delivery of ...,Seed,5000000.0,2017-08-15
618,DYNO Mapper,"77,180","DYNO Mapper streamlines the discovery, analysis, and planning phase of web development. - Sitemap Generator featuring Google Analytics, Cont ...",Seed,10247296.46,2015-04-01
619,Portfolium,"77,171",Portfolium is the fastest and most effective way to visually tell your story. Showcase your work and ...,Series A,5350000.0,2016-09-12
622,Autopilot,"77,162",Autopilot is visual marketing software for automating customer journeys - Autopilot is easy-to-use software for multi-channe ...,Venture,12000000.0,2017-06-07
