,market,products,launch_stage,activity_level,activity_verified,pageviews,team_member,founded_by,revenue_stage,revenue_through,twitter_followers,amount_raised,company_website,description,name,founded,place,crunchbase_link,ranking
117,"'analytics', 'marketing', 'startups', 'ar/vr'","'other', 'service', 'web app'",Publicly,High company activity detected,14 Nov 19,4100.0,7.5,'Rania Reda',Pre,"'b2b', 'subscription'",692,Undisclosed,https://www.augmania.com?ref=startuptracker,"'Our product is a Storytelling tool that uses Augmented Reality to allow marketers to build interactive campaigns. No Apps, no coding skills.'",'Augmania',May 4 2015,San Francisco US,https://www.crunchbase.com/organization/augmania,1200000
118,'food and beverages','mobile app',Publicly,No recent company activity detected,12 Nov 19,47.0,3.0,,Pre,"'b2c', 'sales'",47,Self,https://wahoodelivery.com?ref=startuptracker,'Delivering more than 500 products in about 10 minutes','Wahoo Delivery',August 1 2019,WashingtonDC US,https://www.crunchbase.com/organization/wahoo-delivery,0
119,"'entertainment', 'fashion', 'gaming', 'health'",'other',Publicly,Sourced by Startup Tracker,12 Nov 19,1.0,1.0,,Pre,"'advertising', 'affiliation'",9,Self,https://realmpost.com/?ref=startuptracker,'A viral media site to browse and post your content','Realm Post',November 10 2019,Crawfordsville US,https://startuptracker.io,0
120,"'productivity', 'hr and recruitment'",'web app',Publicly,High company activity detected,4 Nov 19,37200.0,30.5,'Shoanak Mallapurkar',Post,"'b2b', 'free to use', 'freemium', 'subscription'",311,Undisclosed,https://recruitcrm.io?ref=startuptracker,'Recruit CRM helps recruiters manage all their work on one simple platform.','Recruit CRM',September 30 2017,Cupertino US,https://www.crunchbase.com/organization/recruitcrm,128400
121,'real estate',"'mobile app', 'service'",Privately,High company activity detected,1 Nov 19,0.0,7.5,"'Santo 🏡', 'MailMyPrescriptions.com'",Post,"'b2c', 'b2b', 'subscription'",1100,Undisclosed,https://pooltoday.co?ref=startuptracker,'Have your pool serviced in as soon as two hours after subscribing to PoolToday.','Pool Today',June 1 2019,Boca Raton US,https://crunchbase.com/organization/pooltoday,0
122,"'e commerce', 'gaming', 'ai', 'software dev'","'desktop app', 'mobile app', 'service', 'web app'",Publicly,High company activity detected,31 Oct 19,3600.0,75.5,'wappier',Post,"'b2b', 'commission', 'sales'",168,$4m,https://wappier.com/?ref=startuptracker,"'Intelligent Revenue Management: Model, predict, and influence consumer behavior with the power of AI!'",'wappier',January 14 2015,New York US,https://www.crunchbase.com/organization/wappier,1300000
123,"'analytics', 'data', 'finance', 'productivity'","'desktop app', 'service'",Publicly,Low company activity detected,30 Oct 19,0.0,30.5,,Post,"'b2b', 'sales', 'subscription'",1100,Undisclosed,https://www.saaslicense.com?ref=startuptracker,"'SaaS License Management Platform to optimize, automate, and manage contracts and subscription renewals.'",'SaaSLicense',January 1 2017,Massachusetts US,https://www.crunchbase.com/organization/saaslicense,0
124,"'analytics', 'consulting', 'productivity', 'sales'","'desktop app', 'service', 'web app'",Pre,Sourced by Startup Tracker,23 Oct 19,1200.0,3.0,'EugeneMachine',Pre,"'b2c', 'b2b', 'free to use', 'freemium', 'subscription'",9,Undisclosed,https://www.eugenemachine.com?ref=startuptracker,'EugeneMachine is a website change detection and alerting system.','EugeneMachine',January 1 2015,Philadelphia US,https://startuptracker.io,0
125,'other',"'desktop app', 'mobile app', 'service', 'web app'",Publicly,High company activity detected,22 Oct 19,2700.0,375.5,'Saketa',Pre,"'b2c', 'b2b', 'freemium'",693,Undisclosed,https://saketa.com/sharepoint-migrator/?ref=startuptracker,"'Saketa provides Enterprise Digital Workspace solutions for organizations to adopt, engage and effectively use SharePoint and O365 platform'",'Saketa',December 31 2013,Seattle US,https://www.crunchbase.com/organization/saketa,1700000
126,"'analytics', 'marketing', 'social networks', 'content'","'mobile app', 'web app'",Publicly,High company activity detected,17 Oct 19,455900.0,7.5,"'Thibaud CLEMENT', 'Noémie Clément'",Post,"'b2b', 'b2g', 'non profit', 'subscription'",2700,Undisclosed,https://www.loomly.com/?ref=startuptracker,"'Loomly is the Brand Success Platform that empowers marketing teams to collaborate, publish and measure.'",'Loomly',February 15 2016,Los Angeles US,https://www.crunchbase.com/organization/loomly,10700
127,"'finance', 'startups', 'blockchain'","'mobile app', 'service'",Pre,No recent company activity detected,15 Oct 19,824.0,30.5,'Bankey',Pre,"'b2c', 'commission'",10,Undisclosed,http://bankey.io/?ref=startuptracker,'Send and receive money with no bank account required.','Bankey',January 10 2016,"Washington, DC US",https://crunchbase.com/organization/bankey,5600000
128,"'data', 'robotics', 'ai', 'big data'","'desktop app', 'hardware', 'mobile app', 'service', 'web app'",Privately,No recent company activity detected,15 Oct 19,0.0,7.5,'BasicAI',Pre,"'b2b', 'sales'",45,Undisclosed,https://www.basic.ai?ref=startuptracker,'Computer Software','BasicAI',May 1 2019,Irvine US,https://crunchbase.com/organization/basicai,0
129,'startups',"'desktop app', 'mobile app'",Privately,High company activity detected,14 Oct 19,605400.0,30.5,'CloudApp',Pre,"'b2c', 'b2b', 'freemium'",23400,Undisclosed,https://www.getcloudapp.com?ref=startuptracker,"'CloudApp is a video and media sharing platform for organizations, enabling anyone to quickly create, upload and manage visual content.'",'CloudApp',January 1 2015,San Francisco US,https://www.crunchbase.com/organization/cloudapp,8100
130,"'health', 'productivity', 'hr and recruitment', 'startups'","'service', 'web app'",Publicly,High company activity detected,10 Oct 19,0.0,1.0,'Fahim Karim',Pre,"'b2b', 'freemium'",1100,Undisclosed,https://kudosbot.com?ref=startuptracker,'KudosBot is the perfect way to spread positivity by giving shout outs or heaping praise for employees who go above & beyond.','KudosBot',September 1 2019,Seattle US,https://crunchbase.com/organization/kudosbot,0
131,"'consulting', 'e commerce', 'startups', 'sales'","'desktop app', 'hardware', 'service', 'web app'",Pre,No recent company activity detected,9 Oct 19,9.0,7.5,'Splash Q2C (Quote To Cash) Cloud',Pre,"'b2b', 'sales'",9,Undisclosed,https://www.splashq2c.com/?ref=startuptracker,'Sales quoting automation and tracking','SplashQX',January 1 2018,Saint Augustine US,https://startuptracker.io,0
132,'travel',"'service', 'web app'",Privately,No recent company activity detected,8 Oct 19,0.0,2.0,,Pre,"'b2c', 'sales'",1100,Self,https://www.lewistravel.co/?ref=startuptracker,"'Lewis plans and books weekend getaways, fully personalized just for you.'",'Lewis',August 29 2019,New York US,https://www.crunchbase.com/organization/lewis,0
133,"'advertising', 'communication', 'design', 'marketing'",'service',Publicly,Low company activity detected,6 Oct 19,1200.0,7.5,'James Nunn',Post,"'b2b', 'advertising', 'subscription'",8,Undisclosed,https://juuced.com?ref=startuptracker,'#HelpingBusinessesGrow','Juuced Marketing',September 20 2018,Sudbury US,https://crunchbase.com/organization/juuced-marketing,3800000
134,"'other', 'e commerce', 'finance', 'software dev'","'mobile app', 'service', 'web app'",Privately,Low company activity detected,30 Sep 19,31400.0,30.5,'Zenus Bank',Pre,"'b2c', 'b2b', 'b2g', 'subscription'",453,Undisclosed,https://www.zenus.com?ref=startuptracker,"'The First Bank in USA made for Global Clients. We make it safe and easy to Access, Send, Receive and Store money in USA.'",'Zenus Bank',March 8 2019,San Juan US,https://www.crunchbase.com/organization/zenus-bank,152000
135,"'retail', 'blockchain', 'ai', 'big data'","'mobile app', 'web app'",Publicly,No recent company activity detected,28 Sep 19,1400.0,7.5,"'Eran Eyal', 'lance', 'Springleap', 'Forbes Technology Council'",Pre,"'b2c', 'freemium', 'sales', 'subscription'",6400,Undisclosed,http://www.shopin.com?ref=startuptracker,"""Shopin is building the essential tools for Retail 3.0: global view of all of retail's decentralized purchase data, blockchain DID and A.I.""",'Shopin',September 1 1975,Brooklyn US,https://www.crunchbase.com/organization/shopin,3400000
136,"'hr and recruitment', 'social networks', 'startups', 'sales'",'other',Privately,High company activity detected,27 Sep 19,2200.0,3.0,'Intro30',Pre,"'b2c', 'b2b', 'subscription'",281,Undisclosed,https://www.intro30.com/?ref=startuptracker,'A recruitment platform where candidates can introduce themselves with 30 second videos','Intro30',March 1 2019,San Francisco US,https://angel.co/company,2200000
137,"'sharing economy', 'startups'","'mobile app', 'web app'",Publicly,High company activity detected,25 Sep 19,27400.0,30.5,'Passbase',Pre,"'b2b', 'commission', 'subscription'",2500,$4.2m,https://passbase.com?ref=startuptracker,"'Passbase aims to fully digitize the way people identify themselves by creating a biometrically secured, verified, portable, digital identity'",'Passbase',July 31 2018,New York City US,https://www.crunchbase.com/organization/passbase,174000
138,"'education', 'ai'","'mobile app', 'service', 'web app'",Publicly,High company activity detected,24 Sep 19,0.0,3.0,'Cetalingua Project',Pre,"'b2c', 'subscription'",430,Undisclosed,https://cetalingua.com?ref=startuptracker,'Membership-based participatory platform for citizen scientists.','Cetalingua Project',January 3 2018,Tampa US,https://startuptracker.io,0
139,"'e commerce', 'software dev'","'desktop app', 'service'",Privately,No recent company activity detected,23 Sep 19,0.0,2.0,'Qanairy',Pre,"'b2b', 'subscription'",99,$10k,https://qanairy.com?ref=startuptracker,'Qanairy helps companies test web apps/sites for errors w/AI','Qanairy',February 1 2018,Boston US,https://www.crunchbase.com/organization/qanairy,0
140,"'hr and recruitment', 'security', 'real estate'","'mobile app', 'web app'",Publicly,Low company activity detected,20 Sep 19,1400.0,7.5,'Kugadi',Post,"'b2b', 'subscription'",351,Undisclosed,https://www.kugadi.com/?ref=startuptracker,'Kugadi simplifies management of a mobile workforce of security guards through an integrated guard tour system and dispatch system','Kugadi',May 4 2015,Miami US,https://www.crunchbase.com/organization/kugadi,3400000
141,"'marketing', 'media', 'productivity'",'web app',Privately,No recent company activity detected,18 Sep 19,728.0,3.0,'G Riar',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",13,Self,https://www.syrreo.com?ref=startuptracker,"'Syrreo will help you manage items, quotes, orders, and customers in one streamlined service.'",'Syrreo',July 1 2018,BAKERSFIELD US,https://www.crunchbase.com/organization/syrreo,6400000
142,"'consulting', 'manufacturing', 'robotics', 'ai'","'desktop app', 'hardware', 'service', 'web app'",Pre,High company activity detected,17 Sep 19,0.0,7.5,'Gjergj Camaj',Pre,"'b2b', 'subscription'",34,Undisclosed,https://www.kineticai.com?ref=startuptracker,"'KineticAI, Inc. is building a modular Factory Analytics and Automation Toolkit for the manufacturing industry.'",'KineticAI',April 30 2019,Indiana US,https://www.crunchbase.com/organization/kineticai,0
143,"'sharing economy', 'social networks', 'travel', 'messaging'",'mobile app',Pre,No recent company activity detected,17 Sep 19,0.0,3.0,'Abord',Pre,"'other', 'b2c', 'b2b', 'free to use', 'commission', 'advertising', 'freemium', 'subscription'",20,Undisclosed,http://getabord.com?ref=startuptracker,'Connect with other travelers and locals that have similar travel plans. Save on your entire trip budget and discover new travel experiences.','Abord',June 18 2019,Boulder US,https://angel.co/company,0
144,"'other', 'data', 'travel', 'content'","'mobile app', 'web app'",Pre,Sourced by Startup Tracker,17 Sep 19,1200.0,4.0,,Pre,"'b2c', 'free to use', 'freemium'",9,Undisclosed,https://www.liist.cc?ref=startuptracker,"'A tool that turns your photos, notes, maps into shareable recommendations'",'Liist',July 4 2019,New York City US,https://startuptracker.io,0
145,'food and beverages','other',Publicly,High company activity detected,13 Sep 19,80100.0,7.5,'bokksu',Pre,"'other', 'subscription'",7000,Undisclosed,https://www.bokksu.com/?ref=startuptracker,'Bokksu is a premium subscription service that delivers thoughtfully curated boxes of artisanal Japanese snacks and teas.','Bokksu',March 11 2015,New York US,https://www.crunchbase.com/organization/bokksu,60000
146,"'advertising', 'analytics', 'marketing', 'media'",'service',Publicly,No recent company activity detected,10 Sep 19,352.0,1.0,'Neil Hoyne',Pre,"'b2c', 'b2b', 'free to use', 'subscription'",352,Undisclosed,https://proof.to?ref=startuptracker,"""Master the world's most powerful marketing ideas each week, for free.""",'Proof',July 1 2019,San Jose US,https://betalist.com/startups/proofto,0
147,"'data', 'e commerce', 'startups', 'big data'","'service', 'web app'",Publicly,High company activity detected,10 Sep 19,14100.0,30.5,"""Michael A'Burzynski""",Pre,"'b2c', 'b2b', 'b2g', 'freemium'",363,Undisclosed,https://datantify.com?ref=startuptracker,'Datanify is the largest provider of high-quality company databases. We have access to over 100 million unique companies.','Datantify',August 14 2018,Montebello US,https://crunchbase.com/organization/datantify,335100
148,"'other', 'startups'",'web app',Publicly,No recent company activity detected,9 Sep 19,0.0,7.5,"'Shahar Chaskelevitch', 'Tomer Barnea', 'Dima Grossman', 'Aviram Kadosh'",Pre,"'b2b', 'free to use', 'freemium'",18,Undisclosed,http://www.SaaSi.co?ref=startuptracker,'SaaSi empowers your team and eliminates waste by providing visibility into your software usage.','SaaSi',July 1 2019,New York US,https://www.crunchbase.com/organization/saasi,0
149,"'other', 'education', 'health', 'social networks'",'service',Publicly,No recent company activity detected,8 Sep 19,1500.0,175.5,'Lean On Me',Pre,"'non profit', 'free to use', 'sales'",20,Undisclosed,https://lean0n.me?ref=startuptracker,'Lean On Me strengthens communities by providing peer-to-peer text lines that allow for easy access to confidential non-crisis support.','Lean On Me',February 1 2016,Cambridge US,https://www.crunchbase.com/organization/lean-on-me,3000000
150,"'data', 'gaming', 'marketing', 'media'",'service',Pre,No recent company activity detected,3 Jun 19,7.0,3.0,"'StreamerCloud.com', 'Gamer Ninja'",Pre,"'b2c', 'sales'",7,Undisclosed,https://streamercloud.com?ref=startuptracker,'Helping live streaming influencers achieve more.','Streamer Cloud',March 3 2018,New York US,https://startuptracker.io,0
151,"'e commerce', 'fashion', 'retail'",'physical goods',Privately,High company activity detected,7 Sep 19,41.0,1.0,'Sunglass Innovation®',Pre,"'b2c', 'b2b', 'sales'",41,Undisclosed,https://www.sunglassinnovation.com?ref=startuptracker,"'Internet Sunglass Store: sell innovative sunglasses ""unique as you"", ""creative shade for all occasions"", ""hi-tech wear with hi-tech flair"".'",'Sunglass Innovation',August 31 2017,Los Angeles US,https://crunchbase.com/organization/sunglassinnovation-com,0
152,"'e commerce', 'sales', 'software dev'",'service',Publicly,Low company activity detected,6 Sep 19,9500.0,7.5,"'Jay Gibb', 'Graeme Rouse'",Pre,"'b2b', 'subscription'",5800,Undisclosed,http://www.cloudsponge.com?ref=startuptracker,'CloudSponge provides SaaS-based solutions that handle address book importing from email accounts.','CloudSponge',October 1 2010,San Francisco US,https://www.crunchbase.com/organization/cloudsponge,497100
153,"'finance', 'sharing economy', 'startups', 'software dev'",'mobile app',Publicly,High company activity detected,5 Sep 19,3600.0,7.5,'ZIRTUE',Pre,"'b2c', 'b2b', 'other', 'free to use'",204,Undisclosed,https://www.zirtue.com/?ref=startuptracker,'relationship-based lending application that simplifies loans between friends & family w/ automatic ACH loan payments.','Zirtue',April 1 2018,Dallas US,https://www.crunchbase.com/organization/zirtue,1300000
154,"'other', 'media', 'startups'","'other', 'service'",Publicly,No recent company activity detected,5 Sep 19,20400.0,7.5,'Ziggeo',Pre,"'b2b', 'subscription'",4200,Undisclosed,http://ziggeo.com?ref=startuptracker,'API for video recording and playback','Ziggeo',January 1 2012,New York US,https://www.crunchbase.com/organization/ziggeo,233000
155,"'hr and recruitment', 'startups', 'ai', 'software dev'",'other',Publicly,High company activity detected,5 Sep 19,9400.0,7.5,,Pre,"'b2b', 'sales'",1100,Undisclosed,https://6nomads.com/?ref=startuptracker,'6nomads is a matching platform that allows companies to find remote verified engineers from around the world.','6nomads',February 1 2019,San Francisco US,https://crunchbase.com/organization/6nomads,504000
156,"'data', 'iot', 'hospitality'",'web app',Publicly,High company activity detected,4 Sep 19,0.0,7.5,'Tapyness®',Pre,"'b2b', 'subscription'",255,Self,https://www.tapyness.com?ref=startuptracker,"'A SaaS platform offering best-in-class consumer experience measurement, capturing the human pulse up to 100x traditional survey methods'",'Tapyness',May 10 2016,Lawrence US,https://startuptracker.io,0
157,"'other', 'marketing', 'sales'","'service', 'web app'",Publicly,Low company activity detected,2 Sep 19,2900.0,7.5,'Supercode',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",34,Self,https://supercode.co?ref=startuptracker,'Professional QR Code Generator','Supercode',August 31 2019,New York US,https://www.crunchbase.com/organization/supercode,1600000
158,"'gaming', 'startups', 'software dev'",'service',Publicly,Low company activity detected,2 Sep 19,77300.0,75.5,'Omar Gabr',Pre,"'b2b', 'subscription'",2800,$20m,https://instabug.com?ref=startuptracker,'We deliver Real-Time Contextual Insights; empowering mobile teams to accelerate their workflow and release with confidence','Instabug',December 31 2012,Palo Alto US,https://www.crunchbase.com/organization/instabug,62100
159,"'education', 'hr and recruitment', 'events', 'sales'",'mobile app',Publicly,Low company activity detected,27 Aug 19,0.0,7.5,'Dan B. Lee',Post,"'b2c', 'b2b', 'freemium', 'subscription'",3500,Undisclosed,https://rememorate.com?ref=startuptracker,'Rememorate is a mobile app that combines tech tools with tested psychological techniques to help you remember the people you meet.','Rememorate',May 26 2017,Brooklyn US,https://www.crunchbase.com/organization/rememorate,0
160,"'startups', 'accounting and legal'",'service',Publicly,High company activity detected,27 Aug 19,4200.0,7.5,'Dvorah Graeser',Pre,"'b2b', 'sales'",610,Undisclosed,http://kisspatent.com/?ref=startuptracker,"'KISSPatent provides IP services for entrepreneurs, small businesses, and startups'",'KISSPatent',December 31 2013,Chicago US,https://www.crunchbase.com/organization/kisspatent,1100000
161,"'finance', 'hr and recruitment', 'sharing economy'","'mobile app', 'service', 'web app'",Privately,No recent company activity detected,26 Aug 19,32900.0,30.5,'Uulala',Pre,"'b2c', 'b2b', 'other', 'free to use', 'sales'",633,Undisclosed,https://uulala.io/?ref=startuptracker,"'Empowering the underbanked community by helping them save money, control their finances and build a blockchain based credit score.'",'Uulala',June 7 2017,Ontario US,https://www.crunchbase.com/organization/uulala,144900
162,"'e commerce', 'accounting and legal'",'service',Publicly,No recent company activity detected,26 Aug 19,6800.0,7.5,'Entriwise',Post,"'b2b', 'free to use', 'subscription'",33,Self,https://www.entriwise.com?ref=startuptracker,'Amazon Seller Accounting and Inventory Profitability Integration for QuickBooks','Entriwise',October 21 2016,Linden US,https://crunchbase.com/organization/entriwise,697300
163,"'analytics', 'ai', 'big data'","'service', 'web app'",Publicly,No recent company activity detected,26 Aug 19,2700.0,30.5,'UniBit',Pre,"'b2c', 'b2b', 'freemium', 'subscription'",50,Undisclosed,https://unibit.ai/?ref=startuptracker,"'UniBit uses AI to deploy unique market data feeds for trading, analytics and applications.'",'UniBit',December 31 2017,Boston US,https://producthunt.com/posts/unibit-api,1700000
164,"'advertising', 'ai', 'big data', 'content'",'web app',Publicly,High company activity detected,23 Aug 19,55600.0,7.5,'👋 Arjun Rai | 👉HelloWoofy.com',Post,"'b2b', 'subscription'",3900,Undisclosed,http://Hellowoofy.com?ref=startuptracker,"'HelloWoofy.com, a Data Science Driven Marketing Platform, is built for small businesses as small business owners ourselves.'",'HelloWoofy.com / Woofy.ai',August 1 2016,New York US,https://crunchbase.com/organization/woofy-inc,86200
165,"'health', 'ai'","'other', 'mobile app', 'web app'",Publicly,No recent company activity detected,21 Aug 19,1500.0,3.0,'Lazarus',Pre,"'b2c', 'free to use', 'subscription'",30,Undisclosed,https://www.lazarusai.com?ref=startuptracker,'HealthAI lets users take a picture of a mole and screen for cancer.','HealthAI',October 5 2017,Cambridge US,https://crunchbase.com/organization/lazarus-enterprises-2,3100000
166,"'productivity', 'hr and recruitment', 'content'",'web app',Privately,No recent company activity detected,20 Aug 19,0.0,7.5,'Wrangle',Pre,"'b2c', 'subscription'",64,Undisclosed,https://wrangle.work?ref=startuptracker,'The best way to hire or be hired in media & entertainment.','Wrangle',February 2 2019,Los Angeles US,https://www.crunchbase.com/organization/wrangle-3a59,0
167,"'data', 'design', 'startups', 'software dev'","'other', 'service', 'web app'",Publicly,Sourced by Startup Tracker,15 Aug 19,4400.0,7.5,"'SaaS Startup Kit', 'Keeni Procedures', 'Aurora Forecast', 'Keeni Space Operating Procedures'",Pre,"'b2b', 'non profit', 'free to use'",3,Self,https://saasstartupkit.com/?ref=startuptracker,'Open-source project of Go code to bootstrap your software-as-a-service startup.','SaaS Startup Kit',June 1 2019,Anchorage US,https://startuptracker.io,1100000
168,"'analytics', 'data', 'blockchain', 'big data'","'service', 'web app'",Pre,No recent company activity detected,14 Aug 19,2600.0,7.5,"'Kaleb Jordan Wilson', 'Paroma Indilo'",Pre,"'b2c', 'b2b', 'commission'",269,Self,https://datacy.com/?ref=startuptracker,'We enable businesses to buy data directly from the users','datacy',September 30 2018,Tennessee US,https://crunchbase.com/organization/datacy,1800000
169,"'advertising', 'marketing', 'real estate'","'other', 'service'",Publicly,High company activity detected,13 Aug 19,1300.0,7.5,'Lead Geeks',Pre,"'other', 'subscription'",256,Undisclosed,https://leadgeeks.com?ref=startuptracker,'Your one-stop shop for EXCLUSIVE motivated home seller leads!','Lead Geeks',November 1 2016,Phoenix US,https://crunchbase.com/organization/lead-geeks,3700000
170,"'other', 'e commerce', 'retail', 'software dev'","'service', 'web app'",Publicly,Low company activity detected,13 Aug 19,10000.0,7.5,'Piio',Pre,"'b2b', 'sales', 'subscription'",228,Undisclosed,https://piio.co?ref=startuptracker,"""Generates responsive images so you don't have to optimize""",'Piio',January 1 2018,San Francisco US,https://www.crunchbase.com/organization/piio,471800
171,"'advertising', 'marketing', 'sales'","'other', 'service', 'web app'",Publicly,No recent company activity detected,12 Aug 19,24500.0,4.0,'Daniel Levi',Pre,"'b2b', 'free to use'",190,Undisclosed,https://www.mailgenius.com/?ref=startuptracker,'Find out if your email is likely to trigger spam filters. Run a free email spam and security test in less than 1 minute with MailGenius.com','MailGenius',April 30 2019,Los Angeles US,https://startuptracker.io,194200
172,'health','mobile app',Publicly,High company activity detected,7 Aug 19,113100000.0,2.0,'Mooditude App',Pre,"'b2c', 'free to use'",1000,Undisclosed,https://apps.apple.com/us/app/mooditude-mood-tracker-cbt/id1450661800?ref=startuptracker,'Mooditude helps build resilience to stress and anxiety','Mooditude',April 4 2019,Santa Monica US,https://producthunt.com/posts/moody,45
173,"'other', 'messaging'","'desktop app', 'web app'",Publicly,No recent company activity detected,5 Aug 19,3400.0,7.5,'Danilka',Pre,"'b2b', 'freemium', 'subscription'",11,Undisclosed,https://replynow.io/?ref=startuptracker,'Single inbox for business messengers.','Reply Now',May 1 2018,San Jose US,https://crunchbase.com/organization/reply-now,1400000
174,"'consulting', 'insurance', 'security', 'ai'",'service',Pre,No recent company activity detected,4 Aug 19,0.0,2.0,"'breachbits', 'John L.'",Pre,"'b2b', 'b2g', 'subscription'",84,Self,http://www.breachbits.com?ref=startuptracker,"'Continuous, affordable, and powerful cyber Red Teaming service - powered by artificial intelligence and automation.'",'breachbits',February 28 2018,"Washington, D.C. US",https://www.crunchbase.com/organization/breachbits,0
175,"'design', 'productivity', 'startups'",'web app',Publicly,High company activity detected,3 Aug 19,18900.0,3.0,"'PlaybookUX', 'Personal Zen'",Pre,"'b2b', 'freemium'",204,Undisclosed,https://www.playbookux.com?ref=startuptracker,'PlaybookUX is a user testing software that connects businesses with their target demographic.','PlaybookUX',November 1 2018,New York US,https://crunchbase.com/organization/playbookux,251500
176,"'design', 'e commerce', 'fashion', 'social networks'","'desktop app', 'mobile app', 'web app'",Publicly,High company activity detected,3 Aug 19,1400.0,7.5,'Genau Junior',Pre,"'other', 'b2c', 'b2b', 'free to use', 'commission', 'affiliation'",3200000,Undisclosed,http://yoobe.me?ref=startuptracker,'Platform to help celebrities and content creators to create their merchandise store.','Yoobe',November 8 2018,San Francisco US,https://www.crunchbase.com/organization/yoobe,3200000
177,'hr and recruitment','desktop app',Publicly,No recent company activity detected,2 Aug 19,0.0,7.5,'Nynedge',Pre,"'b2c', 'b2b', 'free to use', 'subscription'",30,Undisclosed,https://www.nynedge.com?ref=startuptracker,'Nynedge is a peer to peer SaaS-based Platform for Remote Jobs.','Nynedge',November 23 2018,GAITHERSBURG US,https://www.crunchbase.com/organization/nynedge,0
178,"'data', 'productivity', 'messaging', 'software dev'","'desktop app', 'mobile app', 'service'",Publicly,No recent company activity detected,1 Aug 19,0.0,1.0,,Pre,"'b2c', 'freemium'",1100,Undisclosed,https://www.copybucket.com?ref=startuptracker,'Collaboration is now as easy as copy and paste!','CopyBucket',January 31 2018,Cupertino US,https://startuptracker.io,0
179,"'data', 'social networks', 'real estate'","'mobile app', 'web app'",Privately,No recent company activity detected,31 Jul 19,56.0,7.5,"'Lillian', 'Yooney 🏗', 'Block Notary', 'Microwork', 'POA Network'",Pre,"'b2c', 'b2b', 'freemium', 'sales', 'subscription'",56,Undisclosed,https://yooney.com?ref=startuptracker,'View construction history before you hire and build','Yooney',January 8 2019,san mateo US,https://www.crunchbase.com/organization/yooney,0
180,"'other', 'social networks'",'web app',Pre,No recent company activity detected,29 Jul 19,252.0,1.0,'ColdCrowd',Pre,"'b2c', 'other', 'free to use'",252,Undisclosed,https://www.coldcrowd.com/?ref=startuptracker,'Crowdfunding and crowdsourcing for cold and unsolved cases.','ColdCrowd',July 22 2019,Cleveland US,https://crunchbase.com/organization/coldcrowd,0
181,'productivity',"'desktop app', 'web app'",Publicly,High company activity detected,28 Jul 19,0.0,2.0,,Pre,"'b2c', 'b2b', 'subscription'",1100,Undisclosed,https://publist.app?ref=startuptracker,"'Publist connects to all of the apps you use so you can search, organize, and store all of your file in one place.'",'Publist',June 5 2017,San Fransisco US,https://crunchbase.com/organization/publist,0
182,"'food and beverages', 'fashion', 'startups', 'sales'","'mobile app', 'service'",Publicly,High company activity detected,25 Jul 19,0.0,7.5,'MyCali Designs',Post,"'other', 'b2c', 'b2b', 'non profit', 'sales', 'subscription'",10,Undisclosed,http://www.dapitapp.com?ref=startuptracker,"'DapIt is a new way for businesses to offer gift cards digitally. Customers have the ability to buy, give instantly, share, and pay.'",'DapIt App',March 1 2018,Woodland US,https://www.crunchbase.com/organization/dapit-app,0
183,"'other', 'startups', 'ai', 'software dev'","'other', 'desktop app', 'mobile app', 'service', 'web app'",Publicly,High company activity detected,24 Jul 19,18600.0,30.5,'Testsigma',Pre,"'other', 'b2c', 'b2b', 'affiliation', 'freemium', 'subscription'",360,Undisclosed,https://testsigma.com?ref=startuptracker,'AI Driven Test Automation for all!','Testsigma',August 26 2017,Delaware US,https://www.crunchbase.com/organization/testsigma-inc,255800
184,"'analytics', 'productivity', 'hr and recruitment', 'startups'",'web app',Pre,High company activity detected,23 Jul 19,18100.0,7.5,"'Andriy Bas', 'Dima Kovalenko'",Pre,"'b2b', 'free to use', 'freemium', 'subscription'",80,Undisclosed,https://plai.team?ref=startuptracker,"'Plai, Align and focus your employees around what matters with the first free OKR tool. Set objectives, track progress and monitor dashboard!'",'Plai',June 4 2019,Los Angeles US,https://crunchbase.com/organization/plai-a8fd,261800
185,'finance','service',Privately,High company activity detected,23 Jul 19,34000.0,30.5,"'Henry Yoshida, CFP®', 'Thomas Young', 'Richard Dude Jr.'",Pre,"'b2c', 'b2b', 'affiliation', 'sales', 'subscription'",819,Undisclosed,https://www.rocketdollar.com?ref=startuptracker,'Invest IRAs and old 401(k)s into cool things. Welcome to “21st century diversification”','Rocket Dollar',February 15 2018,Austin US,https://www.crunchbase.com/organization/rocket-dollar,140400
186,"'startups', 'software dev'",'web app',Publicly,No recent company activity detected,23 Jul 19,0.0,3.0,'Darshan Patil',Pre,"'b2b', 'subscription'",1100,Undisclosed,https://fluxroll.com?ref=startuptracker,'Production support for modern teams','fluxroll',June 1 2018,New York US,https://betalist.com/startups/fluxroll,0
187,"'communication', 'consulting', 'sales', 'software dev'","'service', 'web app'",Publicly,No recent company activity detected,21 Jul 19,979.0,4.0,"'ScopeStack', 'Jon Scott'",Post,"'b2b', 'subscription'",36,Undisclosed,https://scopestack.io?ref=startuptracker,"'In one simple step, the platform enables engineers to accurately price professional services and reduce time to scope a project'",'ScopeStack',January 1 2018,"Greenville, SC US",https://startuptracker.io,4700000
