,Company,Valuation ($B),City,Industry,Select Investors
152,Hive,2.0,San Francisco,Artificial intelligence,"Tomales Bay Capital, Bain & Company, General Catalyst"
153,Kajabi,2.0,Irvine,"Internet software,services","Meritech Capital Partners, Tiger Global Management, Spectrum Equity"
154,Ethos Technologies,2.0,San Francisco,Fintech,"Sequoia Capital, Google Ventures, Accel"
155,Pipe,2.0,Miami,Fintech,"next47, MaC Venture Capital, FinVC"
156,Iterable,2.0,San Francisco,"Internet software,services","CRV, Blue Cloud Ventures, Index Ventures"
157,InVision,1.9,New York,"Internet software,services","FirstMark Capital, Tiger Global Management, ICONIQ Capital"
158,MX Technologies,1.9,Lehi,Fintech,"Point72 Ventures, Pelion Venture Partners, Commerce Ventures"
159,Aledade,1.9,Bethesda,Health,"Venrock, CVF Capital Partners, ARCH Venture Partners"
160,SpotOn,1.88,San Francisco,Fintech,"Dragoneer Investment Group, DST Global, Franklin Templeton"
161,Automattic,1.8,San Francisco,"Internet software,services","Insight Venture Partners, Lowercase Capital, Polaris Partners"
162,ZocDoc,1.8,New York,Health,"Founders Fund, Khosla Ventures, Goldman Sachs"
163,Diamond Foundry,1.8,San Francisco,Other,"Fashion Tech Lab, Fidelity Investments, Vast Ventures"
164,Farmers Business Network,1.75,San Carlos,Other,"Blackrock, Kleiner Perkins Caulfield & Byers, Google Ventures"
165,BetterUp,1.73,San Francisco,"Internet software,services","Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
166,Buzzfeed,1.7,New York,"Internet software,services","SV Angel, RRE Ventures, New Enterprise Associates"
167,Harry's Razor Company,1.7,New York,"Consumer,retail","Thrive Capital, Tiger Global Management, Temasek"
168,Allbirds,1.7,San Francisco,"E-commerce,direct-to-consumer","Lerer Hippeau Ventures, T. Rowe Price, Tiger Global Management"
169,PAX,1.7,San Francisco,"Consumer,retail","Tao Capital Partners, Global Asset Capital, Tiger Global Management"
170,Carta,1.7,San Francisco,Fintech,"Menlo Ventures, Spark Capital, Union Square Ventures"
171,Workato,1.7,Mountain View,"Internet software,services","Battery Ventures, Storm Ventures, Redpoint Ventures"
172,Harness,1.7,San Francisco,Artificial intelligence,"Menlo Ventures, Alkeon Capital Management, Citi Ventures"
173,DispatchHealth,1.7,Denver,Health,"Alta Partners, Questa Capital, Echo Health Venturesl"
174,Dutchie,1.7,Bend,"E-commerce,direct-to-consumer","Casa Verde Capital, Gron Ventures, Thrity Five Ventures"
175,Unite Us,1.7,New York,Health,"Insight Partners, Sequoia Capital, Index Ventures"
176,CircleCI,1.7,San Francisco,"Internet software,services","Threshold Ventures, Baseline Ventures, Harrison Metal"
177,XANT,1.65,Lehi,Artificial intelligence,"Microsoft Ventures, US Venture Partners, Kleiner Perkins Caufield & Byers"
178,Trader Interactive,1.63,Norfolk,Other,Carsales
179,Infinidat,1.6,Waltham,Hardware,"TPG Growth, Goldman Sachs"
180,sweetgreen,1.6,Culver City,"Consumer,retail","Red Sea Ventures, Fidelity Investments, Revolution"
181,Seismic,1.6,San Diego,"Internet software,services","Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
182,Verkada,1.6,San Mateo,Cybersecurity,"next47, First Round Capital, Sequoia Capital"
183,Clari,1.6,Sunnyvale,"Internet software,services","Sequoia Capital, Bain Capital Ventures, enaya Capital"
184,Ramp Financial,1.6,New York,Fintech,"D1 Capital Partners, Stripe, Coatue Management"
185,Tonal,1.6,San Francisco,"E-commerce,direct-to-consumer","Mayfield Fund, Shasta Ventures, L Catterton"
186,Skims,1.6,Los Angeles,"E-commerce,direct-to-consumer","Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
187,Extend,1.6,San Francisco,Fintech,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures"
188,ASAPP,1.6,New York,Artificial intelligence,"March Capital Partners, HOF Capital, Emergence Capital Partners"
189,Loom,1.53,San Francisco,"Internet software,services","Kleiner Perkins Caufield & Byers, Sequoia Capital, General Catalyst"
190,Mu Sigma,1.5,Northbrook,"Data management,analytics","Sequoia Capital, General Atlantic"
191,Cybereason,1.5,Boston,Cybersecurity,"SoftBank Group, CRV, Spark Capital"
192,Cambridge Mobile Telematics,1.5,Cambridge,"Mobile,telecommunications",SoftBank Group
193,Collective Health,1.5,San Francisco,Fintech,"New Enterprise Associates, Founders Fund, Google Ventures"
194,Remitly,1.5,Seattle,Fintech,"DN Capital, Threshold Ventures, Trilogy Equity Partners"
195,Hippo Insurance,1.5,Palo Alto,Fintech,"Propel Venture Partners, Horizons Ventures, Comcast Ventures"
196,Podium,1.5,Lehi,"Internet software,services","Accel, Summit Partners, Google Ventures"
197,Strava,1.5,San Francisco,"Internet software,services","Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital"
198,Olive,1.5,Columbus,"Internet software,services","Drive Capital, General Catalyst, Ascension Ventures"
199,Zenoti,1.5,Bellevue,"Internet software,services","Norwest Venture Partners, Accel, Tiger Global Management"
200,Color,1.5,Burlingame,Health,"General Catalyst, Viking Global Investors, T. Rowe Price"
201,Enfusion,1.5,Chicago,Fintech,FTV Capital
202,K Health,1.5,New York,Health,"Max Ventures, Mangrove Capital Partners, 14W"
203,Uplight,1.5,Boulder,Other,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners"
204,ID.me,1.5,McLean,Cybersecurity,"Moonshots Capital, BoxGroup, Blu Venture Investors"
205,Handshake,1.5,San Francisco,"Internet software,services","Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures"
206,Snapdocs,1.5,San Francisco,Fintech,"Sequoia Capital, Y Combinator, F-Prime Capital"
207,Chipper Cash,1.5,San Francisco,Fintech,"Deciens Capital, Bezos Expeditions, 500 Startups"
208,Brii BioSciences,1.45,Durham,Health,"Sequoia Capital China, GIC, Boyu Capital"
209,Zeta,1.45,San Francisco,Fintech,"Sodexo Ventures, SoftBank Group"
210,Justworks,1.43,New York,"Internet software,services","Index Ventures, Thrive Capital, Bain Capital Ventures"
211,Symphony,1.4,New York,Fintech,"BNP Paribas, Goldman Sachs, Google"
212,Away,1.4,New York,"E-commerce,direct-to-consumer","Global Founders Capital, Comcast Ventures, Forerunner Ventures"
213,Kong,1.4,San Francisco,"Internet software,services","New Enterprise Associates, CRV, Index Ventures"
214,OwnBackup,1.4,Englewood Cliffs,"Data management,analytics","Insight Partners, Salesforce Ventures, Vertex Ventures"
215,Yotpo,1.4,New York,"Internet software,services","Bessemer Venture Partners, Vintage Investment Partners, Blumberg Capital"
216,Phenom People,1.4,Ambler,"Internet software,services","Sierra Ventures, AXA Venture Partners, Sigma Prime Ventures"
217,GupShup,1.4,San Francisco,"Internet software,services","Helion Venture Partners, Tiger Global management, CRV"
218,Degreed,1.4,Pleasanton,Edtech,"Signal Peak Ventures, Owl Ventures, Jump Capital"
219,Astranis Space Technologies,1.4,San Francisco,"Mobile,telecommunications","Refactor Capital, Andreessen Horowitz, Fifty Years Fund"
220,ChargeBee Technologies,1.4,Walnut,Fintech,"Insight Partners, Tiger Global Management, Accel"
221,Rippling,1.35,San Francisco,"Internet software,services","Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
222,Plume,1.35,Palo Alto,"Internet software,services","Insight Partners, Jackson Square Ventures, Liberty Gloval Ventures"
223,Signifyd,1.34,San Jose,Fintech,"Menlo Ventures, Resolute Ventures, IA Ventures"
224,Flipboard,1.32,Palo Alto,"Internet software,services","Kleiner Perkins Caufield & Byers, Comcast Ventures, Insight Partners"
225,Grove Collaborative,1.32,San Francisco,"E-commerce,direct-to-consumer","MHS Capital, NextView Ventures, Mayfield Fund"
226,Alzheon,1.31,Framingham,Health,"ARCH Venture Partners, Ally Bridge Group"
227,Rocket Lab,1.3,Long Beach,Other,"Lockheed Martin, Khosla Ventures, Bessemer Venture Partners"
228,HeartFlow,1.3,Redwood City,Health,"BlueCross BlueShield Venture Partners, US Venture Partners"
229,Sonder,1.3,San Francisco,Travel,"Structure Capital, Spark Capital, Greylock Partners"
230,You & Mr Jones,1.3,New York,Other,Undisclosed
231,Arctic Wolf Networks,1.3,Eden Prairie,Cybersecurity,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors"
232,Everly Health,1.3,Austin,"E-commerce,direct-to-consumer","Highland Capital Partners, Next Coast Ventures, SoGal Ventures"
233,Innovaccer,1.3,San Francisco,Health,"M12, WestBridge Capital, Lightspeed Venture Partners"
234,Socure,1.3,New York,Cybersecurity,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
235,Coalition,1.3,San Francisco,Cybersecurity,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
236,ABL Space Systems,1.3,El Segundo,Other,"T. Rowe Price, Lockheed Martin Ventures, Fidelity Investment"
237,Outschool,1.3,San Francisco,Edtech,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
238,Starry,1.29,Boston,"Mobile,telecommunications","Social Capital, Bessemer Venture Partners"
239,Intercom,1.28,San Francisco,"Internet software,services","FirstMark Capital, Tiger Global Management"
240,ezCater,1.25,Boston,"Supply chain, logistics,,delivery","Insight Venture Partners, ICONIQ Capital, Launchpad Venture Group"
241,Applied Intuition,1.25,Sunnyvale,"Data management,analytics","Andreessen Horowitz, Lux Capital, General Catalyst"
242,BigID,1.25,New York,Cybersecurity,"BOLDstart Ventures, SAP.iO Fund, Scale Venture Partners"
243,Rec Room,1.25,Seattle,"Internet software,services","First Round Capital, Sequoia Capital, Index Ventures"
244,Deel,1.25,San Francisco,Fintech,"Andreessen Horowitz, Spark Capital, Y Combinator"
245,Cerebral,1.23,San Francisco,Health,"Oak HC/FT Partners, Artis Ventures, WestCap Group"
246,EQRx,1.23,Cambridge,Health,"Nextech Invest, Casdin Capital, Google Ventures"
247,Fair,1.2,Santa Monica,"Auto,transportation","CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group"
248,Glossier,1.2,New York,"Consumer,retail","Forerunner Ventures, Institutional Venture Partners, Thrive Capital"
249,Zipline,1.2,South San Francisco,"Supply chain, logistics,,delivery","Sequoia Capital, Baillie Gifford & Co., Google Ventures"
250,FiveTran,1.2,Oakland,"Data management,analytics<","Matrix Partners, Andreessen Horowitz, General Catalyst"
251,Qumulo,1.2,Seattle,"Data management,analytics","Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners"
252,Dialpad,1.2,San Francisco,"Internet software,services","Andreessen Horowitz, Google Ventures, Section 32"
253,Whoop,1.2,Boston,"E-commerce,direct-to-consumer","NextView Ventures, Promus Ventures, Two Sigma Ventures"
254,Starburst,1.2,Boston,"Data management,analytics","Index Ventures, Coatue Management, Andreessen Horowitz"
255,Tealium,1.2,San Diego,"Internet software,services","Georgian Partners, Silver Lake, Presidio Ventures"
256,Public,1.2,New York,Fintech,"Accel, Greycroft, Advancit Capital"
257,Axonius,1.2,New York,Cybersecurity,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge"
258,Savage X Fenty,1.2,El Segundo,"E-commerce,direct-to-consumer","Speedinvest, Valar Ventures, Uniqa Ventures"
259,Pilot.com,1.2,San Francisco,Fintech,"Index Ventures, Sequoia Capital, Bezos Expeditions"
260,Cava Group,1.2,Washington,Other,"SWaN & Legend Ventures, Revolution Growth, Invus Group"
261,Vectra Networks,1.2,San Jose,Artificial intelligence,"IA Ventures, Khosla Ventures, AME Cloud Ventures"
262,Inari,1.2,Cambridge,Other,"Flagship Pioneering, Alexandria Venture Investments, Investment Corporation of Dubai"
263,Project44,1.2,Chicago,"Supply chain, logistics,,delivery","Emergence Capital Partners, 8VC, Chicago Ventures"
264,Alation,1.2,Redwood City,"Internet software,services","Costanoa Ventures, Data Collective, Salesforce Ventures"
265,Sysdig,1.19,San Francisco,Cybersecurity,"Accel, Bain Capital Ventures, Insight Partners"
266,Cerebras Systems,1.17,Los Altos,Hardware,"Benchmark, Foundation Capital, Sequoia Capital"
267,Modern Health,1.17,San Francisco,Health,"Kleiner Perkins Caufield & Byers, Afore Capital, Founders Fund"
268,IRL,1.17,San Francisco,"Internet software,services","Goodwater Capital, Floodgate, Founders Fund"
269,Venafi,1.15,Salt Lake City,Cybersecurity,"Pelion Venture Partners, Foundation Capital, Thoma Bravo"
270,Guideline,1.15,San Mateo,Fintech,"Pelion Venture Partners, Foundation Capital, Thoma Bravo"
