entity_name,primary_issuer_city,primary_issuer_state_or_country_description,industry_group_type,total_investors
"kenwood holdings, ltd.",pembroke,bermuda,insurance,140
"chicago standard holding company, ltd.",pembroke,bermuda,insurance,23
"cogint, inc.",boca raton,florida,other technology,5
rhino fund lp,west conshohocken,pennsylvania,pooled investment fund,17
orgenesis inc.,germantown,maryland,biotechnology,16
h/2 credit partners ltd.,grand cayman,cayman islands,pooled investment fund,6
voltan frontier markets fund (onshore),new york,new york,pooled investment fund,3
"westcliff alternative energy fund, l.p.",santa cruz,california,pooled investment fund,60
"point72 capital, l.p.",stamford,connecticut,pooled investment fund,0
"melinta therapeutics, inc. /new/",new haven,connecticut,pharmaceuticals,9
"stem, inc.",millbrae,california,other energy,25
"nbsh acquisition, llc",new york,new york,investing,250
"unity biotechnology, inc.",brisbane,california,pharmaceuticals,27
"lariat holding company, ltd",hamilton,bermuda,insurance,84
"concord atlantic holding, ltd",hamilton,bermuda,insurance,60
"surgical caregivers of fort worth, llc",fort worth,texas,other health care,0
blue sky uranium corp.,vancouver,"british columbia, canada",other,3
blue sky uranium corp.,vancouver,"british columbia, canada",other,2
"usc, llc",troy,michigan,hospitals and physicians,16
morris innovative inc.,bloomington,indiana,other health care,6
"point72 capital international, ltd.",grand cayman,cayman islands,pooled investment fund,0
infinite lithium corp.,vancouver,"british columbia, canada",other,4
"z loan & investment, llc",stateline,nevada,reits and finance,1
"z loan & investment, llc",stateline,nevada,reits and finance,7
"crystal capital fund series, llc",bay harbor islands,florida,pooled investment fund,277
"crystal capital master fund, llc",bay harbor islands,florida,pooled investment fund,2
"vicapsys life sciences, inc.",cumming,georgia,biotechnology,52
"vicapsys life sciences, inc.",cumming,georgia,biotechnology,3
"midwest regional bancorp, inc.",festus,missouri,commercial banking,7
"endostim, inc.",dallas,texas,other health care,20
"bionex solutions, inc.",san jose,california,biotechnology,5
"tosense, inc.",san diego,california,biotechnology,1
"altheadx, inc.",san diego,california,biotechnology,5
"mobilewalla, inc.",dunwoody,georgia,other technology,52
"sport endurance, inc.",new york,new york,other,1
"sport endurance, inc.",jersey city,new jersey,other,1
"sport endurance, inc.",jersey city,new jersey,other,1
ryu apparel inc.,vancouver,"british columbia, canada",retailing,1
ryu apparel inc.,vancouver,"british columbia, canada",retailing,1
crystal capital international fund spc,bay harbor island,florida,pooled investment fund,96
"reading endoscopy management, l.l.c.",jamison,pennsylvania,other health care,2
"reading endoscopy management, l.l.c.",jamison,pennsylvania,other health care,1
"berks center for digestive health, l.p.",jamison,pennsylvania,other health care,2
"berks center for digestive health, l.p.",jamison,pennsylvania,other health care,1
"cernostics, inc.",pittsburgh,pennsylvania,biotechnology,1
intellipharmaceutics international inc.,toronto,"ontario, canada",pharmaceuticals,5
"rypos, inc.",franklin,massachusetts,manufacturing,7
"snaplogic, inc.",san mateo,california,other technology,6
"redprairie holding, inc.",scottsdale,arizona,other technology,0
"asana, inc.",san francisco,california,other,10
"micronotes, inc.",cambridge,massachusetts,other,16
"noveome biotherapeutics, inc.",pittsburgh,pennsylvania,biotechnology,10
"bca partners fund, lp",tampa,florida,pooled investment fund,11
xebec adsorption inc.,blainville,"quebec, canada",other energy,1
"hig holdings, llc",fort worth,texas,insurance,1
"hig holdings, llc",fort worth,texas,insurance,5
onemednet corp,eden prarie,minnesota,other,9
danville group,san ramon,california,other technology,9
"accolade, inc.",plymouth meeting,pennsylvania,other health care,17
"blackstar enterprise group, inc.",boulder,colorado,other banking and financial services,13
"intuity medical, inc.",fremont,california,other health care,11
pat's backcountry beverages inc.,wheat ridge,colorado,other,1
"recall studios, inc.",boca raton,florida,other technology,0
"corundum group, inc.",colorado springs,colorado,investing,0
"nulo, inc.",austin,texas,other,40
"novasom, inc",glen burnie,maryland,other health care,2
barfresh food group inc.,beverly hills,california,other,13
cannex capital holdings inc.,vancouver,"british columbia, canada",other,71
alston value fund llc,stamford,connecticut,pooled investment fund,3
"chicago self storage, llc",danville,california,commercial,0
"k-tenn capital, inc.",nashville,tennessee,insurance,79
"btg pactual global emerging markets & macro fund, llc",new york,new york,pooled investment fund,1
"btg pactual global emerging markets & macro fund, ltd",new york,new york,pooled investment fund,0
goviex uranium inc.,vancouver,"british columbia, canada",other,6
"livexlive media, inc.",beverly hills,california,other technology,10
"california ethanol & power, llc",brawley,california,other energy,1
"california ethanol & power, llc",brawley,california,other energy,6
"aionx antimicrobial technologies, inc.",hershey,pennsylvania,biotechnology,16
"rst, inc.",san francisco,california,other,1
capson corp.,austin,texas,insurance,13
"reflexion fund, lp",austin,texas,pooled investment fund,1
green heat corp,duluth,minnesota,energy conservation,0
boston omaha corp,omaha,nebraska,other,3
"zeel networks, inc.",new york,new york,other,9
"verdigris technologies, inc.",moffett field,california,other technology,23
"diversified investments - ph, llc",auburn,california,other real estate,26
"online disruptive technologies, inc.",las vegas,nevada,biotechnology,1
kraken robotics inc.,st. john's,"newfoundland, canada",other,21
"net element, inc.",north miami beach,florida,other,1
"pontchartrain lithotripsy, llc",tucson,arizona,other health care,0
"rgpc investors, llc - series a",west des moines,iowa,investing,11
"motionsoft, inc.",rockville,maryland,other technology,13
stratos genomics inc.,seattle,washington,biotechnology,4
"bnet media group, inc.",farmington,utah,other technology,0
"jam partners, lp",rocky mount,north carolina,pooled investment fund,32
"aura biosciences, inc.",cambridge,massachusetts,biotechnology,42
optima discretionary macro fund ltd,pembroke,bermuda,pooled investment fund,32
"orangehook, inc.",wayzata,minnesota,other technology,1
"jand, inc.",new york,new york,other technology,35
"peach innovations, inc.",waltham,massachusetts,other,1
hyperlite mountain gear inc.,biddeford,maine,retailing,15
"legacy lakes state credit, llc",marietta,georgia,pooled investment fund,5
"bep legacy 1c, llc",houston,texas,pooled investment fund,6
"simpa networks, inc.",seattle,washington,other energy,4
"moon express, inc.",cape canaveral,florida,other,6
"snagfilms, inc.",washington,district of columbia,other,8
"americann, inc.",denver,colorado,other,5
"pollen, inc.",leawood,kansas,other technology,9
"shellman bluff acquisition, llc",shellman bluff,georgia,other,0
"catapult health, llc",dallas,texas,other health care,13
"rezolute, inc.",louisville,colorado,biotechnology,1
"rezolute, inc.",louisville,colorado,biotechnology,1
tristar gold inc.,scottsdale,arizona,other,5
"walton bt state credit, llc",marietta,georgia,pooled investment fund,2
"cunningham energy, llc.",charleston,west virginia,oil and gas,7
smart oes llc,houston,texas,energy conservation,1
true fit corp,boston,massachusetts,other technology,7
nanosphere health sciences inc.,greenwood village,colorado,other technology,2
nanosphere health sciences inc.,greenwood village,colorado,other technology,30
immy inc.,troy,michigan,other technology,0
"adial pharmaceuticals, inc.",charlottesville,virginia,pharmaceuticals,7
citizens bancshares co.,kansas city,missouri,commercial banking,1
"treehouse, inc.",austin,texas,retailing,8
"aria cv, inc.",st. paul,minnesota,biotechnology,8
"traackr, inc.",san francisco,california,other technology,2
excelsior mining corp.,phoenix,arizona,other,2
icox innovations inc.,los angeles,california,other technology,11
atom energy inc.,vancouver,"british columbia, canada",other,2
magellan gold corp,vacaville,california,other,1
azarga uranium corp.,white rock,"british columbia, canada",other energy,4
azarga uranium corp.,white rock,"british columbia, canada",other energy,1
"pika energy, inc.",westbrook,maine,other energy,14
"nemus bioscience, inc.",costa mesa,california,pharmaceuticals,1
aquafiber technologies corp,vero beach,florida,other,1
caredox inc.,new york,new york,other technology,6
"physicians senior care fund, llc",wichita,kansas,other health care,7
carmell therapeutics corp,pittsburgh,pennsylvania,biotechnology,5
"westcliff high yield fund, l.p.",santa cruz,california,pooled investment fund,25
sonitus technologies inc.,san mateo,california,other,2
"socialchorus, inc.",san francisco,california,other technology,2
"bidtellect, inc.",delray beach,florida,other technology,6
ecovative design llc,green island,new york,other technology,8
nantucket project llc,greenwich,connecticut,other,3
"cls holdings usa, inc.",miami,florida,other,1
"cls holdings usa, inc.",miami,florida,other,10
"cls holdings usa, inc.",miami,florida,other,1
"cls holdings usa, inc.",miami,florida,other,1
alpine heritage offshore fund ltd.,englewood cliffs,new jersey,pooled investment fund,46
noble environmental technologies corp.,san diego,california,manufacturing,11
"fullcontact, inc.",denver,colorado,other,2
"fullcontact, inc.",denver,colorado,other,21
insights international holdings llc,franklin,virginia,other technology,0
stakeholder gold corp.,toronto,"ontario, canada",other,6
"shadow health, inc.",gainesville,florida,other technology,0
"rhino small-cap financial fund, lp",west conshohocken,pennsylvania,pooled investment fund,10
alston long-term opportunities fund llc,stamford,connecticut,pooled investment fund,6
"sportsrocket, inc.",new york,new york,other technology,4
"hapten sciences, inc.",memphis,tennessee,pharmaceuticals,1
"cloudbees, inc.",raleigh,north carolina,other technology,24
accuvein inc.,cold spring harbor,new york,other health care,40
"upstream technologies, inc.",new brighton,minnesota,other technology,2
ravenswood investment co l.p.,massapequa,new york,pooled investment fund,77
"wheeler real estate investment trust, inc.",virginia beach,virginia,reits and finance,1
"occipital, inc.",boulder,colorado,other technology,5
"robotti global fund, llc",new york,new york,pooled investment fund,62
"corindus vascular robotics, inc.",waltham,massachusetts,other health care,4
"corindus vascular robotics, inc.",waltham,massachusetts,other health care,2
"triumph higher education group, llc",hoffman estates,illinois,other,5
inpixon,palo alto,california,other technology,12
"alkami technology, inc,",plano,texas,computers,2
excelerarx corp.,minneapolis,minnesota,other health care,6
"biosig technologies, inc.",los angeles,california,other health care,2
"core brewing & distilling company, llc",springdale,arkansas,other,2
"first carolina financial services, inc.",rocky mount,north carolina,commercial banking,1
"poly group, llc",new albany,indiana,other,0
"gleneagles credit partners i, llc",atlanta,georgia,pooled investment fund,35
"gleneagles private equity partners i, llc",atlanta,georgia,pooled investment fund,18
"tempest therapeutics, inc.",san francisco,california,other health care,8
"dg holdings, inc.",salt lake city,utah,other technology,7
"hord coplan macht, inc.",baltimore,maryland,other,0
"onkure, inc.",boulder,colorado,biotechnology,16
dariohealth corp.,caesarea industrial park,israel,biotechnology,29
melissinos-eupatrid lp,matawan,new jersey,pooled investment fund,32
"farm usa trust, lllp",moorhead,minnesota,other,1
"legacy oaks senior tax credit, llc",marietta,georgia,pooled investment fund,6
"ansun biopharma, inc.",san diego,california,other,6
"hz polo club apartments, llc",san francisco,california,residential,1
"ebdg, inc.",seattle,washington,other,0
"digital reasoning systems, inc.",franklin,tennessee,other technology,9
"ablative solutions, inc.",palo alto,california,other health care,24
"amkor green, llc.",new york,new york,investment banking,0
can-fite biopharma ltd.,petach tikva,israel,pharmaceuticals,3
