company_name,url,city,state,country,employees,linkedin_url,founded,Industry,CityRanking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Bluegrass Behavioral Health Group,bbhealthgroup.com,Edgewood,KY,United States,73,http://www.linkedin.com/company/bluegrass-behavioral-health-group,,Hospital/Healthcare,3580,19710000,1,,,,,,,https://www.growjo.com/company/Bluegrass_Behavioral_Health_Group,https://www.indeed.com/jobs?q=company%3A(Bluegrass Behavioral Health Group),35%,For Contact Direct Phone Numbers and Emails see Lead411
DMLO CPAs,dmlo.com,Lyndon,KY,United States,142,http://www.linkedin.com/company/dmlo,,Accounting,3621,23146000,1,,,,,,,https://www.growjo.com/company/DMLO_CPAs,https://www.indeed.com/jobs?q=company%3A(DMLO CPAs),35%,For Contact Direct Phone Numbers and Emails see Lead411
MKS Vision Group,mksvision.com,Louisville,KY,United States,38,http://www.linkedin.com/company/mks-vision-group,2017,Tech Services,3823,5510000,1,,,,,,,https://www.growjo.com/company/MKS_Vision_Group,https://www.indeed.com/jobs?q=company%3A(MKS Vision Group),46%,For Contact Direct Phone Numbers and Emails see Lead411
University of Pikeville- Kentucky College of Osteopathic Medicine,upike.edu,Pikeville,KY,United States,42,http://www.linkedin.com/company/university-of-pikeville-kentucky-college-of-osteopathic-medicine,,Education,3948,7560000,1,,,,,,,https://www.growjo.com/company/University_of_Pikeville-_Kentucky_College_of_Osteopathic_Medicine,https://www.indeed.com/jobs?q=company%3A(University of Pikeville- Kentucky College of Osteopathic Medicine),45%,For Contact Direct Phone Numbers and Emails see Lead411
Denton Floyd Real Estate Group,dentonfloyd.com,Louisville,KY,United States,33,http://www.linkedin.com/company/dentonfloyd,2008,Real Estate,4010,6840000,1,Real Estate,,,,,,https://www.growjo.com/company/Denton_Floyd_Real_Estate_Group,https://www.indeed.com/jobs?q=company%3A(Denton Floyd Real Estate Group),43%,For Contact Direct Phone Numbers and Emails see Lead411
Rivendell Behavioral Health Hospital,rivendellbehavioral.com,Bowling Green,KY,United States,65,http://www.linkedin.com/company/rivendell-behavioral-health-hospital,,Hospital/Healthcare,4122,17550000,1,,,,,,,https://www.growjo.com/company/Rivendell_Behavioral_Health_Hospital,https://www.indeed.com/jobs?q=company%3A(Rivendell Behavioral Health Hospital),30%,For Contact Direct Phone Numbers and Emails see Lead411
Isaiah House Treatment Center,isaiah-house.org,Willisburg,KY,United States,61,http://www.linkedin.com/company/isaiah-house-treatment-center,1999,Health,4137,16470000,1,,,,,,,https://www.growjo.com/company/Isaiah_House_Treatment_Center,https://www.indeed.com/jobs?q=company%3A(Isaiah House Treatment Center),30%,For Contact Direct Phone Numbers and Emails see Lead411
Clark's Pump-N-Shop,myclarkspns.com,Ashland,KY,United States,50,http://www.linkedin.com/company/clark's-pump-n-shop,1976,Retail,4155,11350000,1,,,,,,,https://www.growjo.com/company/Clark's_Pump-N-Shop,https://www.indeed.com/jobs?q=company%3A(Clark's Pump-N-Shop),43%,For Contact Direct Phone Numbers and Emails see Lead411
Highlands Latin School,thelatinschool.org,Louisville,KY,United States,69,http://www.linkedin.com/company/highlands-latin-school,2000,Education,4405,12420000,1,,,,,,,https://www.growjo.com/company/Highlands_Latin_School,https://www.indeed.com/jobs?q=company%3A(Highlands Latin School),28%,For Contact Direct Phone Numbers and Emails see Lead411
Waites,waites.net,Covington,KY,United States,86,http://www.linkedin.com/company/waites-wireless,2006,Industrial,4622,30358000,1,,,,,,,https://www.growjo.com/company/Waites,https://www.indeed.com/jobs?q=company%3A(Waites),26%,For Contact Direct Phone Numbers and Emails see Lead411
Fives Intralogistics Corp.,intralogistics.fivesgroup.com,Louisville,KY,United States,202,http://www.linkedin.com/company/fives-intralogistics-corp,1957,Engineering,4628,20200000,1,,,,,,,https://www.growjo.com/company/Fives_Intralogistics_Corp.,https://www.indeed.com/jobs?q=company%3A(Fives Intralogistics Corp.),27%,For Contact Direct Phone Numbers and Emails see Lead411
