company_name,url,city,state,country,employees,linkedin_url,founded,Industry,GrowjoRanking,Previous Ranking,estimated_revenues,job_openings,keywords,LeadInvestors,Accelerator,btype,valuation,total_funding,product_url,indeed_url,growth_percentage,contact_info
Deel,letsdeel.com,San Francisco,CA,United States,117,http://www.linkedin.com/company/deel,2018,HRTech,11,,9030000,35,saas,"Andreessen Horowitz, Spark Capital, Y Combinator",,,1250000000,$204M,https://www.growjo.com/company/Deel,https://www.indeed.com/jobs?q=company%3A(Deel),432%,For Contact Direct Phone Numbers and Emails see Lead411
PlanetSpark,planetspark.in,Gurgaon,,India,365,http://www.linkedin.com/company/planet-spark,2017,EdTech,12,757,17460000,29,saas,,,,,,https://www.growjo.com/company/PlanetSpark,https://www.indeed.com/jobs?q=company%3A(PlanetSpark),769%,For Contact Direct Phone Numbers and Emails see Lead411
Cohere Health,coherehealth.com,Boston,MA,United States,135,http://www.linkedin.com/company/coherehealth,2019,Digital Health,13,,9715000,41,saas,,,,,$56.1M,https://www.growjo.com/company/Cohere_Health,https://www.indeed.com/jobs?q=company%3A(Cohere Health),543%,For Contact Direct Phone Numbers and Emails see Lead411
Lordstown Motors,lordstownmotors.com,Lordstown,OH,United States,289,http://www.linkedin.com/company/lordstownmotorscorp,2019,Automotive,14,,95370000,1,,,,,,,https://www.growjo.com/company/Lordstown_Motors,https://www.indeed.com/jobs?q=company%3A(Lordstown Motors),641%,For Contact Direct Phone Numbers and Emails see Lead411
Fast,fast.co,San Francisco,CA,United States,148,http://www.linkedin.com/company/fast,2019,Fintech,15,55,19240000,44,saas,,,,,$124.5M,https://www.growjo.com/company/Fast,https://www.indeed.com/jobs?q=company%3A(Fast),348%,For Contact Direct Phone Numbers and Emails see Lead411
SmartRent,smartrent.com,Scottsdale,AZ,United States,215,http://www.linkedin.com/company/smartrent.com,2017,Real Estate Tech,16,32,6240000,3,,Real Estate Technology Ventures (RET Ventures),,,,$101.5M,https://www.growjo.com/company/SmartRent,https://www.indeed.com/jobs?q=company%3A(SmartRent),330%,For Contact Direct Phone Numbers and Emails see Lead411
Wanted,getwanted.com,New York,NY,United States,276,http://www.linkedin.com/company/wanted-official,2019,HRTech,17,,17286000,10,saas,,,,,$2M,https://www.growjo.com/company/Wanted,https://www.indeed.com/jobs?q=company%3A(Wanted),646%,For Contact Direct Phone Numbers and Emails see Lead411
Nextech AR Solutions,nextechar.com,Toronto,ON,CAN,200,http://www.linkedin.com/company/nextech-ar-solutions,2018,AdTech,18,1149,17,0,"Augmented Reality, Digital Experience,",,,,,$1.2M,https://www.growjo.com/company/Nextech_AR_Solutions,https://www.indeed.com/jobs?q=company%3A(Nextech AR Solutions),614%,For Contact Direct Phone Numbers and Emails see Lead411
SnapNurse,snapnurse.com,Atlanta,GA,United States,191,http://www.linkedin.com/company/snapnurse,2017,HRTech,19,,5520000,1,,,,,,,https://www.growjo.com/company/SnapNurse,https://www.indeed.com/jobs?q=company%3A(SnapNurse),635%,For Contact Direct Phone Numbers and Emails see Lead411
GENETWORx,genetworx.com,Glen Allen,VA,United States,278,http://www.linkedin.com/company/genetworx,2011,Hospital/Healthcare,20,58,75060000,44,,,,,,,https://www.growjo.com/company/GENETWORx,https://www.indeed.com/jobs?q=company%3A(GENETWORx),491%,For Contact Direct Phone Numbers and Emails see Lead411
Kindbody,kindbody.com,New York,NY,United States,125,http://www.linkedin.com/company/kindbody,2018,Digital Health,21,85,15930000,38,"Healthcare, Medical, Women-Focused, Corporate Wellness, Health and Wellness, Healthcare Services, Fertility",,,,,$63.3M,https://www.growjo.com/company/Kindbody,https://www.indeed.com/jobs?q=company%3A(Kindbody),205%,For Contact Direct Phone Numbers and Emails see Lead411
Thrasio,thras.io,Walpole,MA,United States,563,http://www.linkedin.com/company/thrasio,2018,eCommerce,22,8,68100000,169,,"Upper90, RiverPark Ventures, Advent International",,,1000000000,$1.7B,https://www.growjo.com/company/Thrasio,https://www.indeed.com/jobs?q=company%3A(Thrasio),250%,For Contact Direct Phone Numbers and Emails see Lead411
Carbon Health,carbonhealth.com,San Francisco,CA,United States,664,http://www.linkedin.com/company/carbon-health,2015,Digital Health,23,84,71010000,199,"Mobile, Healthcare, Health Care Information Technology, Technology, Mobile Health",,,,,$172.5M,https://www.growjo.com/company/Carbon_Health,https://www.indeed.com/jobs?q=company%3A(Carbon Health),361%,For Contact Direct Phone Numbers and Emails see Lead411
Vault Health,vaulthealth.com,New York,NY,United States,291,http://www.linkedin.com/company/vaulthealth,2018,Digital Health,24,9,34830000,54,"Healthcare, Personal Health, Health and Wellness, Clinical Trials",,,,,$30M,https://www.growjo.com/company/Vault_Health,https://www.indeed.com/jobs?q=company%3A(Vault Health),494%,For Contact Direct Phone Numbers and Emails see Lead411
Cavista,cavistatech.com,Dallas,TX,United States,165,http://www.linkedin.com/company/cavista,,IT Consulting,25,,,5,,,,,,,https://www.growjo.com/company/Cavista,https://www.indeed.com/jobs?q=company%3A(Cavista),560%,For Contact Direct Phone Numbers and Emails see Lead411
ClickUp,ClickUp.com,San Diego,CA,United States,220,http://www.linkedin.com/company/clickup-app,2016,ProductivityTech,26,86,12760000,11,saas,"Georgian Partners, Craft Ventures",,,1000000000,$137.5M,https://www.growjo.com/company/ClickUp,https://www.indeed.com/jobs?q=company%3A(ClickUp),279%,For Contact Direct Phone Numbers and Emails see Lead411
Kandji,kandji.io,San Diego,CA,United States,83,http://www.linkedin.com/company/kandji,2018,DevOps,27,,,25,saas,,,,,$88.4M,https://www.growjo.com/company/Kandji,https://www.indeed.com/jobs?q=company%3A(Kandji),277%,For Contact Direct Phone Numbers and Emails see Lead411
BigID,bigid.com,New York,NY,United States,286,http://www.linkedin.com/company/bigid,2016,IT Security,28,18,58344000,48,"saas, Privacy, Cybersecurity, Enterprise Software, Governance, Data Discovery","BOLDstart Ventures, SAP.iO Fund, Scale Venture Partners",,B2B,1000000000,$246.1M,https://www.growjo.com/company/BigID,https://www.indeed.com/jobs?q=company%3A(BigID),51%,For Contact Direct Phone Numbers and Emails see Lead411
Fyllo,hellofyllo.com,Chicago,IL,United States,116,http://www.linkedin.com/company/fyllo-compliance-cloud,2019,Analytics,29,132,16820000,9,saas,,,,,$58M,https://www.growjo.com/company/Fyllo,https://www.indeed.com/jobs?q=company%3A(Fyllo),97%,For Contact Direct Phone Numbers and Emails see Lead411
RAMP,ramp.com,Boston,MA,United States,92,,2006,Networking,30,,,21,saas,"D1 Capital Partners, Stripe, Coatue Management",,,1600000000,$320M,https://www.growjo.com/company/RAMP,https://www.indeed.com/jobs?q=company%3A(RAMP),188%,For Contact Direct Phone Numbers and Emails see Lead411
Dutchie,dutchie.com,Bend,OR,United States,192,http://www.linkedin.com/company/getdutchie,2017,Cannabis,31,75,51840000,3,saas,"Casa Verde Capital, Gron Ventures, Thrity Five Ventures",,,1700000000,$253M,https://www.growjo.com/company/Dutchie,https://www.indeed.com/jobs?q=company%3A(Dutchie),178%,For Contact Direct Phone Numbers and Emails see Lead411
LetsGetChecked,letsgetchecked.com,New York,NY,United States,385,http://www.linkedin.com/company/let's-get-checked,2014,Digital Health,32,6,65610000,45,,,,,,$113M,https://www.growjo.com/company/LetsGetChecked,https://www.indeed.com/jobs?q=company%3A(LetsGetChecked),183%,For Contact Direct Phone Numbers and Emails see Lead411
Starburst,starburstdata.com,Boston,MA,United States,254,http://www.linkedin.com/company/starburstdata,2017,Analytics,33,82,22620000,56,saas,"Index Ventures, Coatue Management, Andreessen Horowitz",,,1200000000,$164M,https://www.growjo.com/company/Starburst,https://www.indeed.com/jobs?q=company%3A(Starburst),185%,For Contact Direct Phone Numbers and Emails see Lead411
Public.com,public.com,New York,NY,United States,102,http://www.linkedin.com/company/publichello,2017,Fintech,34,1010,13260000,21,Social Investing Platform,"Accel, Greycroft, Advancit Capital",,,1200000000,$308.5M,https://www.growjo.com/company/Public.com,https://www.indeed.com/jobs?q=company%3A(Public.com),183%,For Contact Direct Phone Numbers and Emails see Lead411
ID.me,id.me,McLean,VA,United States,363,http://www.linkedin.com/company/id.me,2010,IT Security,35,2177,74052000,107,saas,"Moonshots Capital, BoxGroup, Blu Venture Investors",,,1500000000,$155.2M,https://www.growjo.com/company/ID.me,https://www.indeed.com/jobs?q=company%3A(ID.me),216%,For Contact Direct Phone Numbers and Emails see Lead411
Human Interest,humaninterest.com,San Francisco,CA,United States,282,http://www.linkedin.com/company/humaninterest,2015,Fintech,36,22,36660000,42,"saas, E-Commerce,Finance,Human Resources Hr",Wing Venture Capital,Y Combinator,B2B,,$136.7M,https://www.growjo.com/company/Human_Interest,https://www.indeed.com/jobs?q=company%3A(Human Interest),93%,For Contact Direct Phone Numbers and Emails see Lead411
H1,h1insights.com,New York,NY,United States,168,http://www.linkedin.com/company/h1co,2017,Digital Health,37,125,10295000,37,saas,,,,,$70.9M,https://www.growjo.com/company/H1,https://www.indeed.com/jobs?q=company%3A(H1),223%,For Contact Direct Phone Numbers and Emails see Lead411
M1 Finance,m1finance.com,Chicago,IL,United States,164,http://www.linkedin.com/company/m1-finance,2015,Fintech,38,645,21320000,33,Finance Technology,,,,,$173.2M,https://www.growjo.com/company/M1_Finance,https://www.indeed.com/jobs?q=company%3A(M1 Finance),165%,For Contact Direct Phone Numbers and Emails see Lead411
EQRx,eqrx.com,Cambridge,MA,United States,126,http://www.linkedin.com/company/eqrx,,Digital Health,39,,29748000,38,,"Nextech Invest, Casdin Capital, Google Ventures",,,1230000000,$700M,https://www.growjo.com/company/EQRx,https://www.indeed.com/jobs?q=company%3A(EQRx),350%,For Contact Direct Phone Numbers and Emails see Lead411
Motiv Power Systems,motivps.com,Foster City,CA,United States,79,http://www.linkedin.com/company/motiv-power-systems,2009,Automotive,40,121,26070000,12,"saas, Automotive,Cleantech,Transportation,Wind Power",Blackhorn Ventures,,B2B,,$120.6M,https://www.growjo.com/company/Motiv_Power_Systems,https://www.indeed.com/jobs?q=company%3A(Motiv Power Systems),1%,For Contact Direct Phone Numbers and Emails see Lead411
Modern Health,joinmodernhealth.com,San Francisco,CA,United States,334,http://www.linkedin.com/company/modern-health,2017,Digital Health,41,25,24650000,36,saas,"Kleiner Perkins Caufield & Byers, Afore Capital, Founders Fund",,,1170000000,$167.4M,https://www.growjo.com/company/Modern_Health,https://www.indeed.com/jobs?q=company%3A(Modern Health),174%,For Contact Direct Phone Numbers and Emails see Lead411
Fireblocks,fireblocks.com,New York,NY,United States,70,http://www.linkedin.com/company/fireblocks,2018,Fintech,42,2217,9100000,10,saas,,,,,$179M,https://www.growjo.com/company/Fireblocks,https://www.indeed.com/jobs?q=company%3A(Fireblocks),150%,For Contact Direct Phone Numbers and Emails see Lead411
Superpedestrian,superpedestrian.com,Cambridge,MA,United States,136,http://www.linkedin.com/company/superpedestrian-inc-,2013,Robotics,43,188,17395000,41,"Hardware, Consumer Electronics, Transportation, Bicycles",,,,,$136.7M,https://www.growjo.com/company/Superpedestrian,https://www.indeed.com/jobs?q=company%3A(Superpedestrian),189%,For Contact Direct Phone Numbers and Emails see Lead411
Misfits Market,misfitsmarket.com,Pennsauken,NJ,United States,142,http://www.linkedin.com/company/misfitsmarket,2018,Food,44,49,38340000,21,"Groceries, Sustainability","Accel, D1 Capita Partners, Greenoaks Capital Management",,,1100000000,$301.5M,https://www.growjo.com/company/Misfits_Market,https://www.indeed.com/jobs?q=company%3A(Misfits Market),89%,For Contact Direct Phone Numbers and Emails see Lead411
Fishtown Analytics,fishtownanalytics.com,Philadelphia,PA,United States,83,http://www.linkedin.com/company/fishtown-analytics,2016,Analytics,45,1320,6815000,5,saas,,,,,$42.4M,https://www.growjo.com/company/Fishtown_Analytics,https://www.indeed.com/jobs?q=company%3A(Fishtown Analytics),295%,For Contact Direct Phone Numbers and Emails see Lead411
Chipper Cash,chippercash.com,San Francisco,CA,United States,108,http://www.linkedin.com/company/chippercash,2017,Fintech,46,335,14040000,7,,,,,,$52.2M,https://www.growjo.com/company/Chipper_Cash,https://www.indeed.com/jobs?q=company%3A(Chipper Cash),209%,For Contact Direct Phone Numbers and Emails see Lead411
JumpCloud,jumpcloud.com,Louisville,CO,United States,312,http://www.linkedin.com/company/jumpcloud,2012,DevOps,47,659,1,49,"Data Storage,Enterprise Software,Human Resources Hr,Information Security,devops, saas","BlackRock, General Atlantic, OpenView, H.I.G. Capital, OurCrowd, and Foundry Group",,B2B,,$191.7M,https://www.growjo.com/company/JumpCloud,https://www.indeed.com/jobs?q=company%3A(JumpCloud),39%,For Contact Direct Phone Numbers and Emails see Lead411
OwnBackup,ownbackup.com,Fort Lee,NJ,United States,444,http://www.linkedin.com/company/ownbackup,2015,DevOps,48,69,44225000,79,"Data Storage,Enterprise Software,Information Security,Security,Storage, saas","Insight Partners, Salesforce Ventures, Vertex Ventures",,B2B,1400000000,$267.3M,https://www.growjo.com/company/OwnBackup,https://www.indeed.com/jobs?q=company%3A(OwnBackup),82%,For Contact Direct Phone Numbers and Emails see Lead411
Finix,finixpayments.com,San Francisco,CA,United States,115,http://www.linkedin.com/company/finix-payments,2016,Fintech,49,53,14950000,24,saas,,,,,$96M,https://www.growjo.com/company/Finix,https://www.indeed.com/jobs?q=company%3A(Finix),44%,For Contact Direct Phone Numbers and Emails see Lead411
Deliverr,deliverr.com,San Francisco,CA,United States,183,http://www.linkedin.com/company/deliverr-inc,2017,Tech Services,50,89,26535000,55,"Logistics, Ecommerce",,,,,$240.9M,https://www.growjo.com/company/Deliverr,https://www.indeed.com/jobs?q=company%3A(Deliverr),120%,For Contact Direct Phone Numbers and Emails see Lead411
Orca Security,orca.security,Tel Aviv,,United States,106,http://www.linkedin.com/company/orca-security,2019,IT Security,51,2328,21624000,2,saas,"Redpoint Ventures, capitalG, ICONIQ Growth",,,1200000000,$292M,https://www.growjo.com/company/Orca_Security,https://www.indeed.com/jobs?q=company%3A(Orca Security),147%,For Contact Direct Phone Numbers and Emails see Lead411
Medable,medable.com,Palo Alto,CA,United States,263,http://www.linkedin.com/company/medable-inc-,2012,Digital Health,52,2781,21605000,60,"saas, Data Storage,Enterprise Software,Health It,Healthcare,Human Resources Hr,Information Security,Marketing,Mobile,Pharmaceuticals,Security,Storage",,,B2B,,$202.6M,https://www.growjo.com/company/Medable,https://www.indeed.com/jobs?q=company%3A(Medable),112%,For Contact Direct Phone Numbers and Emails see Lead411
Jushi Holdings Inc.,jushico.com,Boca Raton,FL,United States,870,http://www.linkedin.com/company/jushi-inc,2018,Cannabis,53,163,37530000,42,Jushi,,,,,$207.4M,https://www.growjo.com/company/Jushi_Holdings_Inc.,https://www.indeed.com/jobs?q=company%3A(Jushi Holdings Inc.),1092%,For Contact Direct Phone Numbers and Emails see Lead411
Landing,hellolanding.com,San Francisco,CA,United States,262,http://www.linkedin.com/company/hellolanding,2019,Tech Services,54,64,37990000,79,saas,,,,,$145M,https://www.growjo.com/company/Landing,https://www.indeed.com/jobs?q=company%3A(Landing),205%,For Contact Direct Phone Numbers and Emails see Lead411
Globalization Partners,globalization-partners.com,Boston,MA,United States,370,http://www.linkedin.com/company/globalization-partners,2012,HRTech,55,104,53667000,108,saas,,,,,$150M,https://www.growjo.com/company/Globalization_Partners,https://www.indeed.com/jobs?q=company%3A(Globalization Partners),71%,For Contact Direct Phone Numbers and Emails see Lead411
Sourcegraph,sourcegraph.com,San Francisco,CA,United States,118,http://www.linkedin.com/company/sourcegraph,2013,DevOps,56,1175,8700000,33,saas,,,,,$98M,https://www.growjo.com/company/Sourcegraph,https://www.indeed.com/jobs?q=company%3A(Sourcegraph),258%,For Contact Direct Phone Numbers and Emails see Lead411
Detect,detectnow.com,Guilford,CT,United States,92,http://www.linkedin.com/company/detecttest,2017,Biotech,57,,14260000,28,,,,,,,https://www.growjo.com/company/Detect,https://www.indeed.com/jobs?q=company%3A(Detect),411%,For Contact Direct Phone Numbers and Emails see Lead411
BrightInsight,brightinsight.com,San Jose,CA,United States,186,http://www.linkedin.com/company/brightinsight-inc,2017,Digital Health,58,326,16530000,41,saas,,,,,$166M,https://www.growjo.com/company/BrightInsight,https://www.indeed.com/jobs?q=company%3A(BrightInsight),119%,For Contact Direct Phone Numbers and Emails see Lead411
Homeward,homeward.com,Austin,TX,United States,200,http://www.linkedin.com/company/thehomewardway,2018,Real Estate,59,30,,30,saas,,,,,$130M,https://www.growjo.com/company/Homeward,https://www.indeed.com/jobs?q=company%3A(Homeward),344%,For Contact Direct Phone Numbers and Emails see Lead411
Attentive,attentivemobile.com,New York,NY,United States,748,http://www.linkedin.com/company/attentivemobile,2016,Martech,60,3,127250000,49,saas,Bain Capital Ventures,TechStars,,2200000000,$863M,https://www.growjo.com/company/Attentive,https://www.indeed.com/jobs?q=company%3A(Attentive),160%,For Contact Direct Phone Numbers and Emails see Lead411
Paige,paige.ai,New York,NY,United States,80,http://www.linkedin.com/company/paige-ai,2018,Digital Health,61,15,9860000,24,saas,,,,,$220M,https://www.growjo.com/company/Paige,https://www.indeed.com/jobs?q=company%3A(Paige),95%,For Contact Direct Phone Numbers and Emails see Lead411
Lacework,lacework.com,Mountain View,CA,United States,391,http://www.linkedin.com/company/lacework,2015,IT Security,62,548,79764000,34,saas,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management",,,1000000000,$599M,https://www.growjo.com/company/Lacework,https://www.indeed.com/jobs?q=company%3A(Lacework),229%,For Contact Direct Phone Numbers and Emails see Lead411
Gravity Diagnostics,gravitydiagnostics.com,Covington,KY,United States,291,http://www.linkedin.com/company/gravity-diagnostics,2014,Hospital/Healthcare,63,898,78570000,16,,,,,,$20M,https://www.growjo.com/company/Gravity_Diagnostics,https://www.indeed.com/jobs?q=company%3A(Gravity Diagnostics),429%,For Contact Direct Phone Numbers and Emails see Lead411
Substack,substack.com,San Francisco,CA,United States,104,http://www.linkedin.com/company/substack,2017,Media,64,,21320000,9,"E-Commerce, Email Newsletters, Journalism",,,,,$82.4M,https://www.growjo.com/company/Substack,https://www.indeed.com/jobs?q=company%3A(Substack),352%,For Contact Direct Phone Numbers and Emails see Lead411
Postscript,postscript.io,San Francisco,CA,United States,76,http://www.linkedin.com/company/postscriptio,2018,Martech,65,2599,11020000,23,saas,,,,,$41.2M,https://www.growjo.com/company/Postscript,https://www.indeed.com/jobs?q=company%3A(Postscript),245%,For Contact Direct Phone Numbers and Emails see Lead411
Sidecar Health,sidecarhealth.com,El Segundo,CA,United States,77,http://www.linkedin.com/company/sidecarhealth,2018,Digital Health,66,1085,10780000,1,,"GreatPoint Ventures, Tiger Global Management, Menlo Ventures",,,1000000000,$163M,https://www.growjo.com/company/Sidecar_Health,https://www.indeed.com/jobs?q=company%3A(Sidecar Health),126%,For Contact Direct Phone Numbers and Emails see Lead411
Helbiz,helbiz.com,New York,NY,United States,122,http://www.linkedin.com/company/helbiz,2016,Transportation,67,43,40016000,37,,,,,,$52.9M,https://www.growjo.com/company/Helbiz,https://www.indeed.com/jobs?q=company%3A(Helbiz),69%,For Contact Direct Phone Numbers and Emails see Lead411
Weee!,sayweee.com,Sunnyvale,CA,United States,198,http://www.linkedin.com/company/weee-,2015,Retail,68,145,44946000,59,"E-Commerce, Food and Beverages, Mobile Commerce, Social Commerce, Groceries, Local Services","Goodwater Capital, iFly, XVC Venture Capital",,,2800000000,$398.8M,https://www.growjo.com/company/Weee!,https://www.indeed.com/jobs?q=company%3A(Weee!),98%,For Contact Direct Phone Numbers and Emails see Lead411
GoFor Delivers,gofordelivers.com,Ottawa,ON,CAN,92,http://www.linkedin.com/company/gofordelivers,2016,Construction,69,856,26680000,4,,,,,,$23.5M,https://www.growjo.com/company/GoFor_Delivers,https://www.indeed.com/jobs?q=company%3A(GoFor Delivers),92%,For Contact Direct Phone Numbers and Emails see Lead411
Lunchbox,lunchbox.io,New York,NY,United States,89,http://www.linkedin.com/company/lunchboxtechnologies,2019,Tech Services,70,,12905000,27,saas,,,,,$22.1M,https://www.growjo.com/company/Lunchbox,https://www.indeed.com/jobs?q=company%3A(Lunchbox),324%,For Contact Direct Phone Numbers and Emails see Lead411
Kind Lending,kindlending.com,Santa Ana,CA,United States,167,http://www.linkedin.com/company/kindlending,2020,Finance,71,,35070000,1,,,,,,,https://www.growjo.com/company/Kind_Lending,https://www.indeed.com/jobs?q=company%3A(Kind Lending),422%,For Contact Direct Phone Numbers and Emails see Lead411
Oigetit,Oigetit.com,Sunnyvale ,CA,United States,175,http://www.linkedin.com/company/oigetit-com,2014,Tech Services,72,605,25375000,10,,,,,,,https://www.growjo.com/company/Oigetit,https://www.indeed.com/jobs?q=company%3A(Oigetit),415%,For Contact Direct Phone Numbers and Emails see Lead411
Monte Rosa Therapeutics,monterosatx.com,Boston,MA,United States,61,http://www.linkedin.com/company/monte-rosa-therapeutics,,Biotech,73,,9455000,16,,,,,,$223.5M,https://www.growjo.com/company/Monte_Rosa_Therapeutics,https://www.indeed.com/jobs?q=company%3A(Monte Rosa Therapeutics),281%,For Contact Direct Phone Numbers and Emails see Lead411
Olive,oliveai.com,Columbus,OH,United States,651,http://www.linkedin.com/company/hireolive,2012,Tech Services,74,87,94395000,51,,"Drive Capital, General Catalyst, Ascension Ventures",,,1500000000,$456.3M,https://www.growjo.com/company/Olive,https://www.indeed.com/jobs?q=company%3A(Olive),130%,For Contact Direct Phone Numbers and Emails see Lead411
NYDIG,nydig.com,New York,NY,United States,75,http://www.linkedin.com/company/nydig,2017,Finance,75,,15750000,20,,,,,,$405M,https://www.growjo.com/company/NYDIG,https://www.indeed.com/jobs?q=company%3A(NYDIG),317%,For Contact Direct Phone Numbers and Emails see Lead411
Workhorse Group,workhorse.com,Loveland,OH,United States,142,http://www.linkedin.com/company/workhorse-custom-chassis,2007,Automotive,76,,46860000,1,,,,,,$347.6M,https://www.growjo.com/company/Workhorse_Group,https://www.indeed.com/jobs?q=company%3A(Workhorse Group),25%,For Contact Direct Phone Numbers and Emails see Lead411
Corvus Insurance,corvusinsurance.com,Boston,MA,United States,151,http://www.linkedin.com/company/corvusinsurance,2017,Fintech,77,46,19630000,45,"Machine Learning, Finance, Insurance, Insurance Companies, Property And Casualty Insurance Companies, Insurtech, Artificial Intelligence / Machine Learning",,,,,$145.8M,https://www.growjo.com/company/Corvus_Insurance,https://www.indeed.com/jobs?q=company%3A(Corvus Insurance),122%,For Contact Direct Phone Numbers and Emails see Lead411
Unqork,unqork.com,New York,NY,United States,492,http://www.linkedin.com/company/unqork,2017,DevOps,78,4,56115000,86,"devops, saas, no code","Blackrock, capitalG, World Lab Innovation",,,2000000000,$365.2M,https://www.growjo.com/company/Unqork,https://www.indeed.com/jobs?q=company%3A(Unqork),78%,For Contact Direct Phone Numbers and Emails see Lead411
HomeTown Ticketing,hometownticketing.com,Columbus,OH,United States,109,http://www.linkedin.com/company/hometownticketing,2016,Fintech,79,,15805000,9,,,,,,,https://www.growjo.com/company/HomeTown_Ticketing,https://www.indeed.com/jobs?q=company%3A(HomeTown Ticketing),395%,For Contact Direct Phone Numbers and Emails see Lead411
GrowGeneration,growgeneration.com,Denver,CO,United States,89,http://www.linkedin.com/company/growgeneration-corp,2008,Retail,80,26,170890000,1,"Agriculture,Physical Storage,Storage",Gotham Green Partners,,,,$247.8M,https://www.growjo.com/company/GrowGeneration,https://www.indeed.com/jobs?q=company%3A(GrowGeneration),59%,For Contact Direct Phone Numbers and Emails see Lead411
News Break,newsbreak.com,Mountain View,CA,United States,203,http://www.linkedin.com/company/particle-media-inc-,2015,Tech Services,81,3765,29435000,58,"Digital Media, Information Services, News, Local, Technology, Mobile Application",,,,,$151.4M,https://www.growjo.com/company/News_Break,https://www.indeed.com/jobs?q=company%3A(News Break),244%,For Contact Direct Phone Numbers and Emails see Lead411
Squire,getsquire.com,New York,NY,United States,118,http://www.linkedin.com/company/squ%C4%ABr-technologies,2015,Tech Services,82,,17110000,12,saas,,,,,$106.1M,https://www.growjo.com/company/Squire,https://www.indeed.com/jobs?q=company%3A(Squire),146%,For Contact Direct Phone Numbers and Emails see Lead411
Axonius,axonius.com,New York,NY,United States,170,http://www.linkedin.com/company/axonius,2017,IT Security,83,168,34680000,28,cybersecurity asset management,"Vertex Ventures Israel, Bessemer Venture Partners, Emerge",,,1200000000,$465M,https://www.growjo.com/company/Axonius,https://www.indeed.com/jobs?q=company%3A(Axonius),83%,For Contact Direct Phone Numbers and Emails see Lead411
